13.30 re             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
8430.2943  787.09998            
8528.705  786.79999            
8627.1025  786.20001            
8725.487  786.70001            
8823.8583  786.20001            
8922.2166  786.5            
9020.5617  786.79999            
9118.8937  786.70001            
9217.2127  786.59998            
9315.5185  787            
9413.8113  786.40002            
9512.0909  787.70001            
9610.3575  787.70001            
9708.6109  787.5            
9806.8513  789.70001            
9905.0786  793            
10003.293  797.79999            
10101.494  807.59998            
10199.682  826.79999            
10297.857  856.5            
10396.019  889.5            
10494.168  921.40002            
10592.303  933.20001            
10690.426  924.40002            
10788.536  916.40002            
10886.632  907            
10984.715  897.40002            
11082.786  890.59998            
11180.843  891.90002            
11278.887  901.20001            
11376.918  899.90002            
11474.937  904.09998            
11572.942  906.40002            
11670.934  915.20001            
11768.912  921.09998            
11866.878  923.5            
11964.831  928.20001            
12062.771  929.90002            
12160.698  924.29999            
12258.611  924.40002            
12356.512  923.70001            
12454.399  918.59998            
12552.274  915.70001            
12650.135  915.09998            
12747.984  906.40002            
12845.819  906.40002            
12943.641  905.79999            
13041.451  906.90002            
13139.247  908            
13237.03  908.70001            
13334.8  904            
13432.557  907.70001            
13530.301  908.29999            
13628.032  905.59998            
13725.75  901.40002            
13823.455  909            
13921.147  912.59998            
14018.826  906.5            
14116.492  911.29999            
14214.145  915.20001            
14311.785  915            
14409.412  916.20001            
14507.026  920.70001            
14604.627  924.90002            
14702.214  932.59998            
14799.789  935.79999            
14897.351  937.5            
14994.9  938.40002            
15092.435  938.09998            
15189.958  941.59998            
15287.468  937.40002            
15384.965  932.09998            
15482.448  925            
15579.919  916.70001            
15677.377  913            
15774.822  912.5            
15872.253  908.79999            
15969.672  905.59998            
16067.078  898.59998            
16164.471  893.90002            
16261.85  891.59998            
16359.217  894.70001            
16456.571  894.20001            
16553.912  891.5            
16651.24  886.79999            
16748.554  889.20001            
16845.856  888.90002            
16943.145  889.40002            
17040.421  886.29999            
17137.684  883.40002            
17234.934  885.09998            
17332.171  882.90002            
17429.395  885.20001            
17526.606  883.5            
17623.804  880.70001            
17720.989  880            
17818.161  880            
17915.32  880.20001            
18012.466  877.70001            
18109.6  879.29999            
18206.72  884.90002            
18303.827  881.20001            
18400.921  881.20001            
18498.003  879            
18595.071  882.5            
18692.127  885.29999            
18789.169  886            
18886.199  884.59998            
18983.215  885            
19080.219  888.40002            
19177.21  884.70001            
19274.187  885            
19371.152  884.90002            
19468.104  885.20001            
19565.043  888.59998            
19661.969  888.09998            
19758.882  888.29999            
19855.782  882.79999            
19952.669  880.5            
20049.544  890.70001            
20146.405  888.59998            
20243.253  889.29999            
20340.089  889.40002            
20436.911  888.09998            
20533.721  891.40002            
20630.517  895.59998            
20727.301  892.79999            
