15.20             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
8430.2943  786.70001            
8528.705  786.59998            
8627.1025  786.79999            
8725.487  786.59998            
8823.8583  786.70001            
8922.2166  786.5            
9020.5617  786.5            
9118.8937  786.5            
9217.2127  787.59998            
9315.5185  787.20001            
9413.8113  787.09998            
9512.0909  787.09998            
9610.3575  788.09998            
9708.6109  789            
9806.8513  788.70001            
9905.0786  790.29999            
10003.293  794.79999            
10101.494  800.40002            
10199.682  814            
10297.857  833            
10396.019  855.70001            
10494.168  880.90002            
10592.303  895.20001            
10690.426  882.70001            
10788.536  870.29999            
10886.632  864            
10984.715  861.29999            
11082.786  861.29999            
11180.843  863.40002            
11278.887  862.40002            
11376.918  868.20001            
11474.937  867            
11572.942  871            
11670.934  878.20001            
11768.912  886.09998            
11866.878  885.09998            
11964.831  887.09998            
12062.771  887.20001            
12160.698  884.70001            
12258.611  883.70001            
12356.512  881.29999            
12454.399  881.20001            
12552.274  878.29999            
12650.135  871.5            
12747.984  870.5            
12845.819  871.79999            
12943.641  869.09998            
13041.451  871.79999            
13139.247  866.59998            
13237.03  867.90002            
13334.8  864.59998            
13432.557  867.20001            
13530.301  868.5            
13628.032  867.90002            
13725.75  869.20001            
13823.455  867.90002            
13921.147  869.20001            
14018.826  870.90002            
14116.492  870.20001            
14214.145  867.5            
14311.785  871.5            
14409.412  872.09998            
14507.026  872.90002            
14604.627  874.40002            
14702.214  872.90002            
14799.789  877.29999            
14897.351  875.79999            
14994.9  883.59998            
15092.435  878.29999            
15189.958  876.79999            
15287.468  877.40002            
15384.965  875.09998            
15482.448  872.09998            
15579.919  873.09998            
15677.377  868.40002            
15774.822  859.59998            
15872.253  863.70001            
15969.672  860.59998            
16067.078  861.20001            
16164.471  859.90002            
16261.85  857.5            
16359.217  860.40002            
16456.571  856.79999            
16553.912  854.40002            
16651.24  848.40002            
16748.554  850.5            
16845.856  852.29999            
16943.145  852.90002            
17040.421  852.09998            
17137.684  853.70001            
17234.934  853.40002            
17332.171  853.29999            
17429.395  854.09998            
17526.606  849.79999            
17623.804  852.40002            
17720.989  850.5            
17818.161  851.59998            
17915.32  850.20001            
18012.466  852.20001            
18109.6  853.59998            
18206.72  851            
18303.827  852.29999            
18400.921  848.40002            
18498.003  847.70001            
18595.071  848.90002            
18692.127  852.5            
18789.169  853.40002            
18886.199  847.70001            
18983.215  852.20001            
19080.219  853            
19177.21  850.59998            
19274.187  850.20001            
19371.152  849            
19468.104  852.09998            
19565.043  853.5            
19661.969  850.59998            
19758.882  853.5            
19855.782  853.09998            
19952.669  852.09998            
20049.544  851.5            
20146.405  856.09998            
20243.253  851.79999            
20340.089  855.20001            
20436.911  854.79999            
20533.721  855.79999            
20630.517  856.20001            
20727.301  856.59998            
20824.072  851.29999            
20920.83  852.40002            
21017.575  855.20001            
21114.307  855.79999            
21211.026  855.09998            
21307.732  858.5            
21404.426  858.79999            
21501.106  863.29999            
21597.774  860.29999            
21694.428  856.59998            
21791.07  859.79999            
21887.699  857.79999            
21984.314  853.09998            
22080.917  855.70001            
22177.507  858.5            
22274.085  854.70001            
22370.649  854.29999            
22467.2  853.09998            
