9.34 22-34 2 min cool 34-22 no cool             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
8439.022  786.59998            
8537.3352  785.79999            
8635.6352  785.79999            
8733.9221  786.70001            
8832.1959  786.29999            
8930.4566  786            
9028.7042  786.40002            
9126.9386  787.09998            
9225.1599  787            
9323.3681  787.5            
9421.5631  788.70001            
9519.745  788.79999            
9617.9139  793.09998            
9716.0696  793.20001            
9814.2122  798.09998            
9912.3416  808.59998            
10010.458  826.5            
10108.561  860.59998            
10206.651  927.70001            
10304.728  1031.1            
10402.792  1157            
10500.843  1262.1            
10598.881  1298.5            
10696.906  1274.3            
10794.917  1225.5            
10892.916  1188.4            
10990.901  1179.2            
11088.873  1171.1            
11186.832  1173.8            
11284.778  1185.9            
11382.711  1190.4            
11480.631  1205.9            
11578.538  1245.3            
11676.432  1280.7            
11774.312  1286.7            
11872.18  1287            
11970.034  1305.7            
12067.876  1320.4            
12165.704  1309.9            
12263.519  1303.1            
12361.322  1282.5            
12459.111  1256.8            
12556.887  1250.2            
12654.65  1251.4            
12752.399  1259            
12850.136  1266.3            
12947.86  1254.9            
13045.571  1244.1            
13143.268  1230.8            
13240.953  1229.2            
13338.624  1222.3            
13436.283  1233.3            
13533.928  1235.5            
13631.56  1224.2            
13729.18  1223.9            
13826.786  1224.3            
13924.379  1226.1            
14021.959  1225.8            
14119.526  1231.4            
14217.08  1256.4            
14314.621  1255.1            
14412.149  1245.3            
14509.664  1227.5            
14607.166  1251.1            
14704.655  1261            
14802.13  1282.7            
14899.593  1286.5            
14997.043  1292.6            
15094.479  1278.9            
15191.903  1273.6            
15289.314  1273.6            
15386.711  1270.5            
15484.096  1253.5            
15581.467  1240.5            
15678.826  1221.7            
15776.171  1212.1            
15873.504  1219            
15970.823  1200            
16068.13  1181.7            
16165.423  1182.4            
16262.703  1184            
16359.971  1186.3            
16457.225  1173.6            
16554.466  1174.5            
16651.695  1166.5            
16748.91  1168            
16846.112  1165.2            
16943.302  1163.5            
17040.478  1158.1            
17137.641  1170.3            
17234.792  1159.7            
17331.929  1148.5            
17429.053  1143.7            
17526.165  1146.5            
17623.263  1149.4            
17720.348  1140.4            
17817.42  1133.2            
17914.48  1128.9            
18011.526  1134.2            
18108.56  1149.4            
18205.58  1152.5            
18302.587  1143.1            
18399.582  1125.5            
18496.563  1135.8            
18593.532  1140            
18690.487  1135.6            
18787.43  1128            
18884.359  1131.9            
18981.276  1137.9            
19078.179  1138.9            
19175.07  1142            
19271.947  1158.2            
19368.812  1147.7            
19465.664  1141.5            
19562.503  1144.7            
19659.328  1146.6            
19756.141  1154.6            
19852.941  1161.9            
19949.728  1164.1            
