Single Spectrum_030_Spec.Data 1 36 2 min             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
5111.5724  777.90002            
5318.2209  777.20001            
5524.8115  778.90002            
5731.3442  780.79999            
5937.8189  784.90002            
6144.2357  788.70001            
6350.5947  796.79999            
6556.8958  805.70001            
6763.139  822            
6969.3245  840.90002            
7175.4521  864.5            
7381.522  895.20001            
7587.5342  930.90002            
7793.4886  969.20001            
7999.3853  987.70001            
8205.2243  1001            
8411.0057  1008.9            
8616.7295  1012.8            
8822.3956  1017            
9028.0042  1023.3            
9233.5552  1032.7            
9439.0486  1037.1            
9644.4846  1023.9            
9849.863  1015.1            
10055.184  1016.4            
10260.447  1019.5            
10465.653  1009.1            
10670.802  1009.7            
10875.893  1010.7            
11080.927  1004.1            
11285.904  1005.1            
11490.823  1016.7            
11695.685  1007.3            
11900.49  1002.9            
12105.237  1009.3            
12309.927  1000.7            
12514.56  1010.3            
12719.136  1007.6            
12923.654  1003.2            
13128.116  1003.7            
13332.52  992.09998            
13536.867  977.70001            
13741.157  972.40002            
13945.391  978.40002            
14149.567  981.09998            
14353.686  983.09998            
14557.748  980.29999            
14761.753  982.20001            
14965.701  977.20001            
15169.592  977.09998            
15373.426  974.29999            
15577.204  970.90002            
15780.924  968.09998            
15984.588  961.20001            
16188.195  956            
16391.745  952.90002            
16595.238  949.70001            
16798.675  951.59998            
17002.054  947.79999            
17205.378  939.59998            
17408.644  941.70001            
17611.854  937.59998            
17815.007  941.59998            
18018.103  937.5            
18221.143  933.40002            
18424.127  934.5            
18627.053  928.5            
18829.923  923.29999            
19032.737  931.29999            
19235.494  934.70001            
19438.195  936.70001            
19640.839  939.90002            
19843.427  931.70001            
20045.959  923.90002            
20248.434  920.40002            
20450.853  921.90002            
20653.215  926            
20855.521  928.70001            
21057.771  926            
21259.964  919.59998            
21462.101  922.09998            
21664.182  921.40002            
21866.207  925.59998            
22068.176  919.79999            
22270.088  920            
22471.945  911.79999            
22673.745  915.79999            
22875.489  914.29999            
23077.177  912.29999            
23278.809  909.59998            
23480.384  909.90002            
23681.904  912            
23883.368  909.09998            
24084.776  910.20001            
24286.128  907.09998            
24487.424  901.79999            
24688.664  900.70001            
24889.848  899.20001            
25090.977  901            
25292.049  897            
25493.066  903.5            
25694.027  907.90002            
25894.932  902.79999            
26095.781  900.79999            
26296.575  901            
26497.312  901.59998            
26697.994  907.40002            
