Single Spectrum_037_Spec.Data 1 RE37 2min             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
5111.5724  778.20001            
5318.2209  779.79999            
5524.8115  783.09998            
5731.3442  786.59998            
5937.8189  792.09998            
6144.2357  803.5            
6350.5947  817.29999            
6556.8958  838.79999            
6763.139  870.79999            
6969.3245  913.40002            
7175.4521  967.20001            
7381.522  1022.3            
7587.5342  1089.5            
7793.4886  1169.7            
7999.3853  1225.8            
8205.2243  1271.9            
8411.0057  1299.1            
8616.7295  1301            
8822.3956  1308.6            
9028.0042  1317.4            
9233.5552  1340.1            
9439.0486  1350.2            
9644.4846  1329.6            
9849.863  1308.8            
10055.184  1297.6            
10260.447  1308.2            
10465.653  1300.8            
10670.802  1295.6            
10875.893  1281.9            
11080.927  1281.5            
11285.904  1286.5            
11490.823  1284.8            
11695.685  1264.9            
11900.49  1260.9            
12105.237  1262.3            
12309.927  1271.4            
12514.56  1283.1            
12719.136  1275.7            
12923.654  1260.5            
13128.116  1275.3            
13332.52  1253.1            
13536.867  1234.9            
13741.157  1203.7            
13945.391  1201.8            
14149.567  1211.7            
14353.686  1228.8            
14557.748  1232.2            
14761.753  1220.8            
14965.701  1220.5            
15169.592  1209.5            
15373.426  1196.5            
15577.204  1211.4            
15780.924  1196.4            
15984.588  1172.4            
16188.195  1151.8            
16391.745  1155.8            
16595.238  1159.4            
16798.675  1160.7            
17002.054  1146.1            
17205.378  1123.3            
17408.644  1119.7            
17611.854  1124.5            
17815.007  1129.5            
18018.103  1125.4            
18221.143  1122.9            
18424.127  1124.3            
18627.053  1110.3            
18829.923  1093.8            
19032.737  1113.1            
19235.494  1117.9            
19438.195  1124.9            
19640.839  1110.6            
19843.427  1110.3            
20045.959  1098.4            
20248.434  1093.3            
20450.853  1106.3            
20653.215  1097.7            
20855.521  1099.2            
21057.771  1096.7            
21259.964  1100            
21462.101  1088.1            
21664.182  1085.5            
21866.207  1094.3            
22068.176  1080.3            
22270.088  1080.1            
22471.945  1060.1            
22673.745  1065.8            
22875.489  1072.7            
23077.177  1076.5            
23278.809  1072.9            
23480.384  1065.6            
23681.904  1061.1            
23883.368  1060.4            
24084.776  1064.2            
24286.128  1061.8            
24487.424  1056.7            
24688.664  1044            
24889.848  1049.6            
25090.977  1045.1            
25292.049  1037.4            
25493.066  1053.3            
25694.027  1051.1            
25894.932  1059.9            
26095.781  1047.9            
26296.575  1048.2            
26497.312  1051.6            
26697.994  1058.6            
26898.621  1053.2            
27099.192  1044.9            
27299.707  1046.7            
27500.167  1042.2            
27700.571  1054.6            
27900.919  1048.5            
28101.212  1049.3            
28301.449  1062.2            
28501.631  1066.1            
28701.757  1064.2            
28901.828  1062.9            
29101.844  1055.3            
29301.804  1059.6            
29501.708  1067            
29701.557  1062.9            
29901.351  1067.1            
30101.09  1065.7            
30300.773  1057.9            
30500.401  1070.3            
30699.973  1083.1            
30899.491  1077.9            
31098.953  1070.2            
31298.36  1067.8            
31497.712  1062.5            
31697.008  1067            
31896.25  1075.3            
32095.436  1062.8            
32294.567  1062.4            
32493.643  1080.8            
32692.664  1082.8            
32891.63  1074.2            
33090.541  1064.7            
33289.397  1072            
33488.198  1077.5            
33686.944  1070.9            
33885.635  1067.4            
34084.272  1066            
34282.853  1074.1            
34481.379  1074.4            
34679.851  1073.8            
34878.267  1069.7            
35076.629  1080.2            
35274.936  1086.9            
35473.189  1088.9            
35671.386  1085.5            
35869.529  1080            
36067.617  1087.4            
36265.651  1096.4            
36463.629  1098.9            
36661.554  1098.9            
36859.423  1093.2            
37057.238  1082.7            
37254.998  1085.4            
37452.704  1085.8            
37650.355  1088.1            
37847.952  1086.5            
38045.494  1084.5            
38242.982  1078.5            
38440.415  1074.3            
38637.794  1084            
38835.118  1083.4            
39032.388  1074.8            
39229.603  1073.3            
39426.765  1075.6            
39623.872  1082.3            
39820.924  1083.5            
40017.922  1074.3            
40214.866  1082.9            
40411.756  1084.5            
40608.592  1077.5            
40805.373  1076            
41002.1  1078.8            
41198.773  1078.5            
41395.391  1078.2            
41591.956  1083.3            
41788.467  1083.8            
41984.923  1080.8            
42181.325  1082.1            
42377.674  1087            
42573.968  1087.8            
42770.208  1081            
42966.394  1081.6            
43162.527  1083.1            
43358.605  1087.3            
43554.629  1080.6            
43750.6  1078.9            
43946.516  1081            
44142.379  1081.5            
44338.188  1092.1            
44533.943  1088            
44729.644  1083            
44925.292  1084.6            
45120.885  1091.4            
45316.425  1086.8            
45511.912  1098.6            
45707.344  1088.8            
45902.723  1082.1            
46098.048  1094.6            
46293.32  1093.5            
46488.537  1086.5            
46683.702  1098.6            
46878.812  1099.9            
47073.87  1104.7            
47268.873  1093.7            
47463.823  1097.6            
47658.72  1097.4            
47853.563  1105.9            
48048.352  1112            
48243.089  1120.5            
48437.771  1114.9            
48632.401  1121.1            
48826.977  1121.9            
49021.499  1120            
49215.968  1108.6            
49410.384  1114.2            
49604.747  1119.5            
49799.056  1132.4            
49993.312  1116            
50187.515  1122            
50381.665  1118.7            
50575.761  1118.5            
50769.804  1131            
50963.795  1138.6            
51157.731  1124.8            
51351.615  1127.4            
51545.446  1140.8            
51739.224  1145.7            
51932.948  1136.8            
52126.62  1140            
52320.238  1128            
52513.803  1136.4            
52707.316  1146.4            
52900.776  1147.8            
53094.182  1150.2            
53287.536  1147.1            
53480.836  1144.2            
53674.084  1155.8            
53867.279  1147.6            
54060.421  1152.7            
54253.511  1141.9            
54446.547  1151.9            
54639.531  1152.4            
54832.462  1161.4            
55025.34  1162.3            
55218.166  1156.9            
55410.939  1161.7            
55603.659  1162.6            
55796.326  1164.5            
55988.941  1166.6            
56181.503  1155.7            
56374.013  1168.6            
56566.47  1167.3            
