Single Spectrum_035_Spec.Data 1 RE39 2 min             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
3870.4624  777.5            
4077.4593  777.40002            
4284.398  777.90002            
4491.2787  777.79999            
4698.1013  778.29999            
4904.8658  778.40002            
5111.5724  779.40002            
5318.2209  781.79999            
5524.8115  785            
5731.3442  790.40002            
5937.8189  799.59998            
6144.2357  813.59998            
6350.5947  832.5            
6556.8958  858            
6763.139  898.29999            
6969.3245  958.09998            
7175.4521  1020.7            
7381.522  1105.5            
7587.5342  1201.4            
7793.4886  1291.8            
7999.3853  1354.5            
8205.2243  1420            
8411.0057  1459            
8616.7295  1490.9            
8822.3956  1484.9            
9028.0042  1467.1            
9233.5552  1472.6            
9439.0486  1520.9            
9644.4846  1474.4            
9849.863  1476.9            
10055.184  1464.5            
10260.447  1448.2            
10465.653  1449.7            
10670.802  1441.9            
10875.893  1425.6            
11080.927  1438.5            
11285.904  1441.8            
11490.823  1428.8            
11695.685  1401.2            
11900.49  1394.5            
12105.237  1406            
12309.927  1403.6            
12514.56  1400.2            
12719.136  1398.4            
12923.654  1392.6            
13128.116  1394.7            
13332.52  1393.6            
13536.867  1354.4            
13741.157  1362.6            
13945.391  1343.6            
14149.567  1315.2            
14353.686  1308            
14557.748  1329.1            
14761.753  1313.7            
14965.701  1335.9            
15169.592  1335.1            
15373.426  1331            
15577.204  1315.2            
15780.924  1308.7            
15984.588  1278.1            
16188.195  1266.1            
16391.745  1259            
16595.238  1251.7            
16798.675  1245.3            
17002.054  1245            
17205.378  1237.2            
17408.644  1218            
17611.854  1224.1            
17815.007  1221.8            
18018.103  1216            
18221.143  1204.1            
18424.127  1217.4            
18627.053  1210.3            
18829.923  1200.5            
19032.737  1214.7            
19235.494  1202.2            
19438.195  1213.1            
19640.839  1222.2            
19843.427  1183.1            
20045.959  1183.8            
20248.434  1173.5            
20450.853  1185.4            
20653.215  1180.7            
20855.521  1177.4            
21057.771  1181.9            
21259.964  1171.1            
21462.101  1170.3            
21664.182  1168.5            
21866.207  1169.9            
22068.176  1166.9            
22270.088  1160.4            
22471.945  1143            
22673.745  1146            
22875.489  1148.2            
23077.177  1149.3            
23278.809  1135            
23480.384  1135.5            
23681.904  1129.2            
23883.368  1114.5            
24084.776  1136.6            
24286.128  1135.9            
24487.424  1126.5            
24688.664  1122.7            
24889.848  1124.7            
25090.977  1129.2            
25292.049  1119.1            
25493.066  1110.2            
25694.027  1115.8            
25894.932  1125.7            
26095.781  1118.8            
26296.575  1118.6            
26497.312  1121.7            
26697.994  1128.6            
26898.621  1120.9            
27099.192  1115.5            
27299.707  1122.2            
27500.167  1119.2            
27700.571  1128.8            
27900.919  1143.2            
28101.212  1135.9            
28301.449  1143.2            
28501.631  1133.4            
28701.757  1147.2            
28901.828  1131.7            
29101.844  1134            
29301.804  1131.6            
29501.708  1138.2            
29701.557  1134.6            
29901.351  1136.4            
30101.09  1136            
30300.773  1128            
30500.401  1134.7            
30699.973  1146.8            
30899.491  1147.8            
31098.953  1146.1            
31298.36  1146.4            
31497.712  1129.6            
31697.008  1125.6            
31896.25  1138.5            
32095.436  1127.2            
32294.567  1131.2            
32493.643  1146.2            
32692.664  1132.7            
32891.63  1151.5            
33090.541  1148.4            
33289.397  1133.3            
33488.198  1135.9            
33686.944  1148.4            
33885.635  1136.2            
34084.272  1139.5            
34282.853  1146.3            
34481.379  1141.2            
34679.851  1131.8            
34878.267  1137.5            
35076.629  1153.3            
35274.936  1159.6            
35473.189  1163.2            
35671.386  1155.4            
35869.529  1139.7            
36067.617  1139.6            
36265.651  1155.3            
36463.629  1164.7            
36661.554  1167            
36859.423  1152            
37057.238  1129.4            
37254.998  1131.1            
37452.704  1153.2            
37650.355  1157.7            
37847.952  1147.6            
38045.494  1137.5            
38242.982  1134.6            
38440.415  1144.1            
38637.794  1144.7            
38835.118  1151.1            
39032.388  1142.1            
39229.603  1140.7            
39426.765  1143.5            
39623.872  1145.1            
39820.924  1132.7            
40017.922  1135.6            
40214.866  1153.6            
40411.756  1161.9            
40608.592  1148.4            
40805.373  1141.9            
41002.1  1156.8            
41198.773  1154.8            
41395.391  1158.6            
41591.956  1156.4            
41788.467  1148.8            
41984.923  1153            
42181.325  1145.6            
42377.674  1142.4            
42573.968  1155            
42770.208  1153.8            
42966.394  1145.6            
43162.527  1166.2            
43358.605  1173.7            
43554.629  1151.6            
43750.6  1163.5            
43946.516  1152.4            
44142.379  1145.4            
44338.188  1154.6            
44533.943  1159.8            
44729.644  1162.6            
44925.292  1163.9            
45120.885  1154.7            
45316.425  1149.2            
45511.912  1166.6            
45707.344  1179            
45902.723  1157.5            
46098.048  1156.3            
46293.32  1171.2            
46488.537  1173.7            
46683.702  1184.6            
46878.812  1188.7            
47073.87  1168.4            
47268.873  1167            
47463.823  1171.1            
47658.72  1173            
47853.563  1170.7            
48048.352  1184.4            
48243.089  1199.1            
48437.771  1192.6            
48632.401  1181.4            
48826.977  1190.1            
49021.499  1204.4            
49215.968  1214.5            
49410.384  1198.8            
49604.747  1208.5            
49799.056  1196.8            
49993.312  1183.1            
50187.515  1192.7            
50381.665  1207            
50575.761  1193.9            
50769.804  1203.6            
50963.795  1214.9            
51157.731  1220.7            
51351.615  1196.5            
51545.446  1207.2            
51739.224  1224.6            
51932.948  1215.1            
52126.62  1225.2            
52320.238  1242            
52513.803  1221.1            
52707.316  1210.8            
52900.776  1227.7            
53094.182  1225.8            
53287.536  1230.1            
53480.836  1219.9            
53674.084  1238.6            
53867.279  1241            
54060.421  1219.2            
54253.511  1231.4            
54446.547  1241.7            
54639.531  1225.6            
54832.462  1245.9            
55025.34  1255            
55218.166  1240.5            
55410.939  1243.6            
55603.659  1239.7            
55796.326  1246.2            
55988.941  1258.7            
56181.503  1249.3            
56374.013  1235.7            
56566.47  1243.4            
56758.874  1257.1            
56951.226  1265.9            
57143.525  1272.1            
57335.772  1247.9            
