12.30.10             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6064.5026  785.79999            
6163.2283  785.40002            
6261.9408  784.59998            
6360.6402  785.59998            
6459.3264  785.09998            
6557.9996  784.90002            
6656.6595  785.40002            
6755.3064  785.29999            
6853.9401  785.20001            
6952.5606  785            
7051.1681  786.20001            
7149.7624  785            
7248.3436  785.5            
7346.9116  785.79999            
7445.4666  785.20001            
7544.0084  785.20001            
7642.5371  784.79999            
7741.0526  785.40002            
7839.5551  785.59998            
7938.0444  785.90002            
8036.5206  785.20001            
8134.9837  785.20001            
8233.4337  784.40002            
8331.8706  785.59998            
8430.2943  785.20001            
8528.705  785.09998            
8627.1025  784.79999            
8725.487  785.70001            
8823.8583  785.20001            
8922.2166  785            
9020.5617  784.90002            
9118.8937  785.29999            
9217.2127  785.5            
9315.5185  785.20001            
9413.8113  786.20001            
9512.0909  786.29999            
9610.3575  786.20001            
9708.6109  788.20001            
9806.8513  788.29999            
9905.0786  792.5            
10003.293  798.5            
10101.494  809.59998            
10199.682  831.40002            
10297.857  865.20001            
10396.019  902.70001            
10494.168  934.20001            
10592.303  945.70001            
10690.426  935.79999            
10788.536  928.09998            
10886.632  916.90002            
10984.715  906.90002            
11082.786  898.40002            
11180.843  902.59998            
11278.887  912.40002            
11376.918  915.29999            
11474.937  919.70001            
11572.942  926.70001            
11670.934  935.90002            
11768.912  944.90002            
11866.878  952.20001            
11964.831  953.09998            
12062.771  953.09998            
12160.698  949.79999            
12258.611  948.5            
12356.512  950.20001            
12454.399  948            
12552.274  940.90002            
12650.135  937.09998            
12747.984  931.40002            
12845.819  931.79999            
12943.641  934.5            
13041.451  931            
13139.247  928.5            
13237.03  926.5            
13334.8  932.29999            
13432.557  933.90002            
13530.301  931.29999            
13628.032  930.59998            
13725.75  925.20001            
13823.455  926.59998            
13921.147  934.59998            
14018.826  937.09998            
14116.492  930.70001            
14214.145  934            
14311.785  935.20001            
14409.412  941.79999            
14507.026  937.29999            
14604.627  944.70001            
14702.214  943.20001            
14799.789  941.5            
14897.351  947.79999            
14994.9  945.79999            
15092.435  941.29999            
15189.958  946.79999            
15287.468  944            
15384.965  941.59998            
15482.448  944.5            
15579.919  942.70001            
15677.377  936.59998            
15774.822  931.09998            
15872.253  930.20001            
15969.672  921.79999            
16067.078  920.70001            
16164.471  919.59998            
