20.20             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
3693.7736  786.5            
3792.7201  786.40002            
3891.6534  786.09998            
3990.5736  785.79999            
4089.4805  786.29999            
4188.3742  786.09998            
4287.2547  785.79999            
4386.122  786            
4484.9761  786.5            
4583.8171  786.29999            
4682.6448  786.5            
4781.4594  786.5            
4880.2607  786            
4979.0489  786.09998            
5077.8239  786.09998            
5176.5857  786.09998            
5275.3343  785.79999            
5374.0698  786.40002            
5472.792  785.70001            
5571.5011  786.20001            
5670.197  786.20001            
5768.8797  786.20001            
5867.5493  785.59998            
5966.2057  786.59998            
6064.8489  786.5            
6163.4789  786.5            
6262.0958  786            
6360.6995  786            
6459.29  787.09998            
6557.8674  786.29999            
6656.4316  785.20001            
6754.9827  786            
6853.5206  786.09998            
6952.0453  786.59998            
7050.5569  786.09998            
7149.0553  786.09998            
7247.5406  786.70001            
7346.0127  787.09998            
7444.4717  785.29999            
7542.9175  786.09998            
7641.3502  786.40002            
7739.7697  786.29999            
7838.1761  786.20001            
7936.5694  786.29999            
8034.9495  786.29999            
8133.3164  786.20001            
8231.6703  786.40002            
8330.011  786            
8428.3385  786.70001            
8526.6529  787            
8624.9542  785.90002            
8723.2424  786.59998            
8821.5174  786.90002            
8919.7793  786.70001            
9018.0281  786.79999            
9116.2637  786.40002            
9214.4863  787.09998            
9312.6957  787.40002            
9410.892  788.29999            
9509.0751  790.09998            
9607.2452  793.29999            
9705.4021  795.5            
9803.546  800.40002            
9901.6767  810.59998            
9999.7943  837.70001            
10097.899  876.79999            
10195.99  958.29999            
10294.068  1060.4            
10392.134  1170.1            
10490.186  1225.5            
10588.225  1232            
10686.25  1184.9            
10784.263  1144.3            
10882.263  1131.4            
10980.249  1115.5            
11078.223  1120            
11176.183  1128.4            
11274.131  1141.5            
11372.065  1150.8            
11469.986  1167.9            
11567.894  1173.1            
11665.789  1202.8            
11763.671  1237            
11861.54  1234.8            
11959.395  1207.6            
12057.238  1216.5            
12155.067  1222.6            
12252.884  1210.6            
12350.687  1204.2            
12448.478  1193.6            
12546.255  1183.6            
12644.019  1178.4            
12741.77  1187.5            
12839.508  1190.1            
12937.233  1181            
13034.945  1178.9            
13132.644  1175.5            
13230.33  1173.3            
13328.002  1178.7            
13425.662  1179.8            
13523.309  1173.3            
13620.942  1180.5            
13718.563  1184.9            
13816.17  1186.4            
13913.764  1200.4            
14011.346  1219.3            
14108.914  1216.8            
14206.469  1211.7            
14304.011  1220.1            
14401.541  1231.9            
14499.057  1242.9            
14596.56  1244.4            
14694.05  1262.5            
14791.527  1270.8            
14888.991  1303.4            
14986.442  1336.7            
15083.879  1380.9            
15181.304  1369.1            
15278.716  1311.6            
15376.115  1272.8            
15473.501  1233.1            
15570.873  1223.6            
15668.233  1207.3            
15765.58  1184.7            
15862.913  1170.9            
15960.234  1164.6            
16057.542  1153.7            
16154.836  1148.7            
16252.118  1151.6            
16349.387  1141.1            
16446.642  1142.9            
16543.885  1138.7            
16641.114  1130.7            
16738.331  1115.2            
16835.534  1113.7            
16932.725  1123.6            
17029.902  1120.4            
