5.20 100             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
4890.9888  785.56            
4989.7757  785.63            
5088.5495  785.46002            
5187.31  785.59003            
5286.0574  785.5            
5384.7916  785.63            
5483.5126  785.63            
5582.2204  785.63            
5680.9151  785.45001            
5779.5966  785.66998            
5878.2649  785.58002            
5976.92  785.83002            
6075.562  785.62            
6174.1908  785.52002            
6272.8065  785.79999            
6371.4089  785.5            
6469.9982  785.59998            
6568.5744  785.5            
6667.1373  785.59003            
6765.6872  785.84998            
6864.2238  785.58002            
6962.7473  785.59003            
7061.2577  785.47998            
7159.7549  785.51001            
7258.2389  785.63            
7356.7098  785.54999            
7455.1675  785.63            
7553.6121  785.47998            
7652.0435  785.59998            
7750.4618  785.62            
7848.867  785.58002            
7947.259  785.72998            
8045.6379  785.39001            
8144.0036  785.47998            
8242.3562  785.67999            
8340.6957  785.64001            
8439.022  785.54999            
8537.3352  785.62            
8635.6352  785.75            
8733.9221  785.75            
8832.1959  785.77002            
8930.4566  785.70001            
9028.7042  785.78003            
9126.9386  785.85999            
9225.1599  785.98999            
9323.3681  786.10999            
9421.5631  786.48999            
9519.745  787.04999            
9617.9139  789.83002            
9716.0696  788.98999            
9814.2122  790.44            
9912.3416  794.09003            
10010.458  801.39001            
10108.561  815.95001            
10206.651  842.35999            
10304.728  879.84003            
10402.792  924.81            
10500.843  963.47998            
10598.881  976.27002            
10696.906  965.79999            
10794.917  950.96997            
10892.916  937.52002            
10990.901  929.78003            
11088.873  926.70001            
11186.832  926.87            
11284.778  931.78998            
11382.711  941.27002            
11480.631  955.14001            
11578.538  972.09003            
11676.432  984.47998            
11774.312  990.41998            
11872.18  989.52002            
11970.034  994.10999            
12067.876  999.94            
12165.704  996.34003            
12263.519  995.90997            
12361.322  989.78998            
12459.111  980.57001            
12556.887  980.08002            
12654.65  979.78998            
12752.399  977.57001            
12850.136  976.39001            
12947.86  975.48999            
13045.571  979.21002            
13143.268  977.26001            
13240.953  971.72998            
13338.624  974.77002            
13436.283  987.71002            
13533.928  990.82001            
13631.56  988.29999            
13729.18  987.04999            
13826.786  989.98999            
13924.379  993.32001            
14021.959  991.12            
14119.526  991.66998            
14217.08  996.54999            
14314.621  999.67999            
14412.149  998.89001            
14509.664  993.84003            
14607.166  995.23999            
14704.655  1001.14            
14802.13  998.65997            
14899.593  998.32001            
14997.043  996.69            
15094.479  993.79999            
15191.903  998.27002            
15289.314  991.59998            
15386.711  993.44            
15484.096  993.78998            
15581.467  987.09003            
15678.826  982.45001            
15776.171  981.34998            
15873.504  978.03003            
15970.823  979.52002            
16068.13  972.13            
16165.423  969.48999            
16262.703  969.91998            
16359.971  973.27002            
16457.225  977.90997            
16554.466  978.91998            
16651.695  973.81            
16748.91  968.09003            
16846.112  969.75            
16943.302  971.34003            
17040.478  972.42999            
17137.641  974.69            
17234.792  971.5            
17331.929  968.78003            
17429.053  964.15002            
17526.165  961.75            
17623.263  964.42999            
17720.348  961.19            
17817.42  960.63            
17914.48  961.5            
18011.526  963.57001            
18108.56  970.06            
18205.58  969.41998            
18302.587  965.97998            
18399.582  963.29999            
18496.563  962.73999            
18593.532  965.07001            
18690.487  966.54999            
18787.43  963.72998            
18884.359  962.26001            
18981.276  961.95001            
19078.179  963.60999            
19175.07  966.54999            
19271.947  972.20001            
19368.812  972.82001            
19465.664  972.59998            
19562.503  970.81            
19659.328  966.47998            
19756.141  971.08002            
19852.941  978.21997            
19949.728  979.41998            
20046.502  978.78998            
20143.263  976.20001            
20240.011  972.31            
20336.746  974.15002            
20433.468  980.28003            
20530.177  985.46997            
20626.873  983.48999            
20723.557  982.65002            
20820.227  983.58002            
20916.884  985            
21013.529  981.98999            
21110.16  977.91998            
21206.779  978.29999            
21303.384  987.89001            
21399.977  993.10999            
21496.557  995.23999            
21593.124  995            
21689.677  995.40002            
21786.218  998.12            
21882.746  992.58002            
21979.261  989.75            
22075.764  981.54999            
22172.253  977.92999            
22268.729  973.71002            
22365.193  977.22998            
22461.643  974.60999            
22558.081  974.76001            
22654.505  975.37            
22750.917  979.63            
22847.316  977.85999            
22943.702  972.51001            
23040.075  967.28998            
23136.435  966.26001            
23232.782  968.51001            
23329.116  968.94            
23425.437  970.09003            
23521.746  966.71002            
23618.041  963.01001            
23714.324  961.37            
23810.594  958.15002            
23906.85  956.60999            
24003.094  958.33002            
24099.325  957.78998            
24195.544  956.23999            
24291.749  955.01001            
24387.941  960.01001            
24484.121  966.19            
24580.287  966.19            
24676.441  963.96002            
24772.582  958.69            
24868.71  957.04999            
24964.825  963.42999            
25060.927  966.13            
25157.016  966.09998            
25253.092  961.98999            
25349.156  960.83002            
25445.207  959.42999            
25541.244  959.41998            
25637.269  963.34003            
25733.281  965.91998            
25829.281  960.5            
25925.267  964            
26021.24  970.59003            
26117.201  971.87            
26213.148  968.16998            
26309.083  970.71002            
26405.005  969.54999            
26500.914  969.90002            
26596.811  971.03003            
26692.694  978.17999            
26788.565  976.64001            
26884.422  981.53998            
26980.267  982.54999            
27076.099  986.81            
27171.918  991.59003            
27267.725  996.88            
27363.518  1003.04            
27459.299  1013.4            
27555.066  1014.57            
27650.821  1021.76            
27746.563  1018.94            
27842.293  1024.74            
27938.009  1029.84            
28033.713  1031.05            
