1             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6672.3794  778.66669            
6770.7322  779            
6869.0718  778.33331            
6967.3982  778            
7065.7114  778.66669            
7164.0114  778.33331            
7262.2982  778            
7360.5718  776.66669            
7458.8322  777.66669            
7557.0794  779            
7655.3134  779            
7753.5342  778            
7851.7418  778.66669            
7949.9362  777.33331            
8048.1175  776.66669            
8146.2855  778.33331            
8244.4404  778            
8342.5821  778            
8440.7105  777.66669            
8538.8259  778            
8636.928  778.33331            
8735.017  778            
8833.0927  776.66669            
8931.1553  778.66669            
9029.2048  779            
9127.241  778.66669            
9225.2641  778.33331            
9323.2741  778            
9421.2708  779.33331            
9519.2544  778.33331            
9617.2248  778.33331            
9715.1821  778.33331            
9813.1262  779            
9911.0571  778            
10008.975  779.33331            
10106.88  779.33331            
10204.771  781            
10302.649  785.33331            
10400.514  787.33331            
10498.367  794.66669            
10596.205  794            
10694.031  797            
10791.844  792            
10889.643  791            
10987.429  792.66669            
11085.203  790.33331            
11182.963  791            
11280.709  793.66669            
11378.443  793.66669            
11476.164  794.33331            
11573.871  797            
11671.565  794.66669            
11769.247  797.33331            
11866.915  800            
11964.57  796            
12062.211  798.66669            
12159.84  799.66669            
12257.456  798            
12355.058  798.66669            
12452.647  799            
12550.224  799.33331            
12647.787  799.66669            
12745.337  798            
12842.874  798.33331            
12940.397  798.66669            
13037.908  800.33331            
13135.405  798.66669            
13232.89  798.66669            
13330.361  798.66669            
13427.819  797            
13525.265  800.66669            
13622.696  801.33331            
13720.115  800            
13817.521  799            
13914.914  802.33331            
14012.293  800.66669            
14109.66  800            
14207.013  799            
14304.354  801.66669            
14401.681  799.66669            
14498.995  798.33331            
14596.296  801.33331            
14693.584  801.66669            
14790.859  803            
14888.121  799.33331            
14985.37  802.33331            
15082.605  799.33331            
15179.828  800.33331            
15277.037  802.66669            
15374.234  799.33331            
15471.417  801.66669            
15568.587  799.33331            
15665.744  801.66669            
15762.889  802.66669            
15860.02  800            
15957.138  799.66669            
16054.243  801.33331            
16151.334  799            
16248.413  800.66669            
16345.479  800.66669            
16442.532  799.33331            
16539.571  802            
16636.598  801.66669            
16733.611  799.66669            
16830.612  801            
16927.599  801            
17024.574  796.66669            
17121.535  800            
17218.483  801            
17315.418  801.33331            
17412.341  798.33331            
17509.25  797.66669            
17606.146  797.33331            
17703.029  800.66669            
17799.899  798.33331            
17896.756  800            
17993.6  797            
18090.431  799.33331            
18187.249  795.33331            
18284.054  796.66669            
18380.845  797            
18477.624  798.33331            
18574.39  796            
18671.143  796.66669            
18767.882  797.33331            
18864.609  798.33331            
18961.323  798.33331            
19058.023  800.33331            
19154.711  795            
19251.386  797.33331            
19348.047  800.66669            
19444.696  796            
19541.332  794.66669            
19637.954  799            
19734.564  797.66669            
19831.16  797            
19927.744  798.33331            
20024.315  799.33331            
20120.872  800            
20217.417  795.66669            
20313.948  797.33331            
20410.467  801            
20506.972  797.33331            
20603.465  796.33331            
20699.945  797            
20796.411  797.66669            
20892.865  796            
20989.305  797            
21085.733  798.33331            
21182.148  797.66669            
21278.549  796.66669            
21374.938  799.33331            
21471.314  797.66669            
21567.677  798.33331            
21664.026  800            
21760.363  799.33331            
21856.687  799.33331            
21952.998  800.33331            
22049.296  796.33331            
22145.581  797.33331            
22241.852  799.66669            
22338.111  798            
22434.357  796.66669            
22530.59  797.33331            
22626.81  794.66669            
22723.018  799.33331            
22819.212  795            
22915.393  796.66669            
23011.561  798            
23107.716  796.33331            
23203.859  798.66669            
23299.988  794.33331            
23396.105  797.33331            
23492.208  798            
23588.299  798.33331            
23684.376  799            
23780.441  798.66669            
23876.492  798.33331            
23972.531  797.66669            
24068.557  798.66669            
24164.57  795.33331            
24260.57  797            
24356.557  797            
24452.531  796            
24548.492  799.66669            
24644.44  797.66669            
24740.375  799            
24836.298  797.66669            
24932.207  795.33331            
25028.104  798.66669            
25123.987  799            
25219.858  799            
25315.716  799.33331            
25411.56  798.33331            
25507.392  799.33331            
25603.211  801            
25699.017  799.66669            
25794.81  798.33331            
25890.591  798.33331            
25986.358  797.33331            
26082.112  796.66669            
26177.854  797.66669            
26273.582  800            
26369.298  797.33331            
26465.001  799.33331            
26560.691  798.33331            
26656.368  795.33331            
26752.032  798            
26847.683  799.33331            
26943.321  798.66669            
27038.947  798.33331            
27134.559  797.66669            
27230.159  795            
27325.746  797.66669            
27421.319  799.66669            
27516.88  799            
27612.428  799.33331            
27707.964  800            
27803.486  799            
27898.995  798.33331            
27994.492  801            
28089.976  794.66669            
28185.446  797.33331            
28280.904  797            
28376.349  796            
28471.781  798            
28567.201  796.66669            
28662.607  798.33331            
28758.001  797.66669            
28853.381  800            
28948.749  797.66669            
29044.104  795            
29139.446  794.66669            
29234.776  795.66669            
29330.092  798.33331            
29425.396  797.33331            
29520.686  796.66669            
29615.964  797            
29711.229  797            
29806.481  798.33331            
29901.72  798            
29996.947  797            
30092.16  796.33331            
30187.361  798.66669            
30282.549  798            
30377.724  798.33331            
30472.886  801            
30568.036  797.66669            
30663.172  799            
30758.296  796            
30853.407  799            
30948.505  796.66669            
31043.59  800.66669            
31138.662  797.33331            
31233.722  800            
31328.769  799.66669            
31423.802  799.33331            
31518.823  798.66669            
31613.832  799.33331            
31708.827  796            
31803.81  798.33331            
31898.779  799.33331            
31993.736  797.33331            
32088.681  800.66669            
32183.612  796            
32278.53  797.66669            
32373.436  799            
32468.329  795.33331            
32563.209  797.33331            
32658.076  797.66669            
32752.931  799.33331            
32847.773  797.66669            
32942.601  797            
33037.417  797.33331            
33132.221  797.66669            
33227.011  799.66669            
33321.789  797.66669            
33416.554  796.33331            
33511.306  800            
33606.045  797            
33700.772  798.33331            
33795.485  797.66669            
33890.186  801.33331            
33984.874  795.33331            
34079.55  796            
34174.212  801            
34268.862  801.66669            
34363.499  797            
34458.123  797            
34552.735  796.33331            
34647.334  799.66669            
34741.919  794.66669            
34836.493  798.66669            
34931.053  794.66669            
35025.601  798            
35120.135  797            
35214.657  798.66669            
35309.167  795.66669            
35403.663  800.66669            
