Single Spectrum_011_1             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
7753.5342  778.40002            
7851.7418  778.20001            
7949.9362  778.20001            
8048.1175  778.20001            
8146.2855  778.40002            
8244.4404  778            
8342.5821  778            
8440.7105  779.20001            
8538.8259  778            
8636.928  778.79999            
8735.017  778            
8833.0927  777.79999            
8931.1553  778.79999            
9029.2048  778            
9127.241  778.79999            
9225.2641  778.59998            
9323.2741  778.40002            
9421.2708  778.59998            
9519.2544  779.40002            
9617.2248  778.59998            
9715.1821  778.79999            
9813.1262  780.59998            
9911.0571  781.40002            
10008.975  784.20001            
10106.88  788.20001            
10204.771  799.79999            
10302.649  814.79999            
10400.514  833            
10498.367  846            
10596.205  857.79999            
10694.031  857.40002            
10791.844  852.20001            
10889.643  845            
10987.429  836.59998            
11085.203  835.59998            
11182.963  839.20001            
11280.709  839.79999            
11378.443  846            
11476.164  852.59998            
11573.871  854            
11671.565  861            
11769.247  866            
11866.915  867.40002            
11964.57  875.40002            
12062.211  873.59998            
12159.84  870.59998            
12257.456  873            
12355.058  873.20001            
12452.647  871.59998            
12550.224  869.59998            
12647.787  875.40002            
12745.337  865.59998            
12842.874  861.40002            
12940.397  866.40002            
13037.908  868.40002            
13135.405  867            
13232.89  872.79999            
13330.361  871.20001            
13427.819  872.20001            
13525.265  875.79999            
13622.696  877.20001            
13720.115  871.59998            
13817.521  874            
13914.914  871.40002            
14012.293  876.20001            
14109.66  874.40002            
14207.013  876.20001            
14304.354  878.40002            
14401.681  880            
14498.995  878.59998            
14596.296  875            
14693.584  884.79999            
14790.859  880.40002            
14888.121  882.79999            
14985.37  884.79999            
15082.605  887            
15179.828  882.20001            
15277.037  878.40002            
15374.234  877.79999            
15471.417  876            
15568.587  874.59998            
15665.744  881.20001            
15762.889  877.20001            
15860.02  875.20001            
15957.138  877.59998            
16054.243  874.40002            
16151.334  872.20001            
16248.413  874.59998            
16345.479  871.20001            
16442.532  869.79999            
16539.571  867.79999            
16636.598  869.20001            
16733.611  877.20001            
16830.612  878.59998            
16927.599  877.20001            
17024.574  873.40002            
17121.535  872.40002            
17218.483  877.59998            
17315.418  872.40002            
17412.341  878            
17509.25  874            
17606.146  869.79999            
17703.029  871.40002            
17799.899  870.79999            
17896.756  869.79999            
17993.6  870.79999            
18090.431  871.59998            
18187.249  870.20001            
18284.054  870.59998            
18380.845  868.79999            
18477.624  865.59998            
18574.39  863            
18671.143  862.79999            
18767.882  862.40002            
18864.609  861.79999            
18961.323  870.79999            
19058.023  870.40002            
19154.711  868.59998            
19251.386  869            
19348.047  868            
19444.696  865.40002            
19541.332  866            
19637.954  868            
19734.564  872            
19831.16  866.79999            
19927.744  868.20001            
20024.315  871.59998            
20120.872  866            
20217.417  866            
20313.948  869.59998            
20410.467  869.20001            
20506.972  864            
20603.465  862            
20699.945  860.59998            
20796.411  863.59998            
20892.865  868.40002            
20989.305  873.20001            
21085.733  868.40002            
21182.148  865            
21278.549  863.59998            
21374.938  865.79999            
21471.314  865.79999            
21567.677  866.59998            
21664.026  867.79999            
21760.363  861.79999            
21856.687  868.40002            
21952.998  867.40002            
22049.296  865            
22145.581  868.59998            
22241.852  861.59998            
22338.111  858            
22434.357  858            
22530.59  855.20001            
22626.81  855.59998            
