2 power 4.10 mW             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
5983.5399  778.33331            
6081.9852  778.66669            
6180.4173  778.16669            
6278.8361  777.83331            
6377.2418  777.16669            
6475.6342  777.83331            
6574.0134  778.33331            
6672.3794  777.5            
6770.7322  777.66669            
6869.0718  777.83331            
6967.3982  777.66669            
7065.7114  778            
7164.0114  778.33331            
7262.2982  778            
7360.5718  778.16669            
7458.8322  778.83331            
7557.0794  778.16669            
7655.3134  777.5            
7753.5342  777.66669            
7851.7418  778.16669            
7949.9362  778.16669            
8048.1175  777.5            
8146.2855  778.33331            
8244.4404  778.83331            
8342.5821  778.83331            
8440.7105  777.83331            
8538.8259  777.83331            
8636.928  778.33331            
8735.017  777.83331            
8833.0927  778.5            
8931.1553  778.83331            
9029.2048  778            
9127.241  777.5            
9225.2641  777.83331            
9323.2741  778.83331            
9421.2708  778.16669            
9519.2544  779            
9617.2248  778.66669            
9715.1821  778.33331            
9813.1262  778.33331            
9911.0571  778            
10008.975  778.5            
10106.88  778.5            
10204.771  779.16669            
10302.649  779.33331            
10400.514  780.66669            
10498.367  780.16669            
10596.205  781.5            
10694.031  783            
10791.844  781.66669            
10889.643  781.33331            
10987.429  781            
11085.203  780.83331            
11182.963  780.66669            
11280.709  780.83331            
11378.443  781.5            
11476.164  782            
11573.871  781.83331            
11671.565  782.83331            
11769.247  783            
11866.915  782.66669            
11964.57  781.66669            
12062.211  782.33331            
12159.84  782.33331            
12257.456  782.33331            
12355.058  783            
12452.647  781.66669            
12550.224  783            
12647.787  783            
12745.337  782.66669            
12842.874  783            
12940.397  783            
13037.908  782.83331            
13135.405  783.5            
13232.89  782.66669            
13330.361  782.5            
13427.819  782.33331            
13525.265  783.33331            
13622.696  784            
13720.115  782.66669            
13817.521  782.83331            
13914.914  782.33331            
14012.293  782.66669            
14109.66  783.66669            
14207.013  782.66669            
14304.354  783.66669            
14401.681  783.16669            
14498.995  783.5            
14596.296  783            
14693.584  783.33331            
14790.859  783            
14888.121  783.83331            
14985.37  784.16669            
15082.605  783.33331            
15179.828  784.33331            
15277.037  783            
15374.234  783.33331            
15471.417  782.16669            
15568.587  783.83331            
15665.744  783.5            
15762.889  783            
15860.02  783            
15957.138  782.5            
16054.243  784.33331            
16151.334  782.83331            
16248.413  782.66669            
16345.479  782.5            
16442.532  783            
16539.571  782.66669            
16636.598  784            
16733.611  783.83331            
16830.612  782.33331            
16927.599  783.33331            
17024.574  783            
17121.535  782            
17218.483  782.33331            
17315.418  783.5            
17412.341  783.5            
17509.25  782.16669            
17606.146  782.83331            
17703.029  783            
17799.899  783.5            
17896.756  783.33331            
17993.6  784            
18090.431  783.83331            
18187.249  783.16669            
18284.054  784.66669            
18380.845  782.5            
18477.624  782.83331            
18574.39  783            
18671.143  782.83331            
18767.882  782.66669            
18864.609  782.66669            
18961.323  782.83331            
19058.023  782.5            
19154.711  782.5            
19251.386  782.33331            
19348.047  782.83331            
19444.696  783.16669            
19541.332  783.33331            
19637.954  783.83331            
19734.564  782.16669            
19831.16  782.66669            
19927.744  782.33331            
20024.315  783.33331            
20120.872  782.66669            
20217.417  782.83331            
20313.948  783.5            
20410.467  782.33331            
20506.972  782.83331            
20603.465  783            
20699.945  782            
20796.411  782.16669            
20892.865  782.83331            
20989.305  783.33331            
21085.733  783.16669            
