Single Spectrum_026_Spec.Data 1 4.10             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
3041.8936  775.40002            
3249.1231  776            
3456.2943  776.40002            
3663.4075  775.40002            
3870.4624  776.5            
4077.4593  775.70001            
4284.398  775.5            
4491.2787  775.70001            
4698.1013  775.79999            
4904.8658  775.79999            
5111.5724  775.79999            
5318.2209  776.09998            
5524.8115  776.5            
5731.3442  775.90002            
5937.8189  775.79999            
6144.2357  776.20001            
6350.5947  776.59998            
6556.8958  776.59998            
6763.139  778.90002            
6969.3245  779.09998            
7175.4521  781.40002            
7381.522  783            
7587.5342  786.09998            
7793.4886  791.59998            
7999.3853  791.20001            
8205.2243  793.40002            
8411.0057  793.79999            
8616.7295  793.59998            
8822.3956  797.09998            
9028.0042  798.20001            
9233.5552  798            
9439.0486  798.40002            
9644.4846  796.59998            
9849.863  795.20001            
10055.184  796.40002            
10260.447  798.29999            
10465.653  795.70001            
10670.802  796.09998            
10875.893  796.90002            
11080.927  795.5            
11285.904  795.90002            
11490.823  797.79999            
11695.685  795.70001            
11900.49  795            
12105.237  795.70001            
12309.927  793.59998            
12514.56  796.70001            
12719.136  795.70001            
12923.654  794.59998            
13128.116  793.90002            
13332.52  792.70001            
13536.867  792.70001            
13741.157  793.40002            
13945.391  792.59998            
14149.567  793.09998            
14353.686  793.40002            
14557.748  792.90002            
14761.753  792.59998            
14965.701  793.40002            
15169.592  792.29999            
15373.426  794.29999            
15577.204  792.70001            
15780.924  793.90002            
15984.588  791.90002            
16188.195  791.20001            
16391.745  790.09998            
16595.238  791.70001            
16798.675  790.29999            
17002.054  790.09998            
17205.378  790.09998            
17408.644  789.59998            
17611.854  790.5            
17815.007  789.79999            
18018.103  790.79999            
18221.143  791            
18424.127  789.40002            
18627.053  788.20001            
18829.923  789.70001            
19032.737  789.70001            
19235.494  790.20001            
19438.195  790.5            
19640.839  790.59998            
19843.427  790.59998            
20045.959  790.09998            
20248.434  789.79999            
20450.853  789.79999            
20653.215  789.20001            
20855.521  791.40002            
21057.771  789            
21259.964  789            
21462.101  789            
21664.182  787.90002            
21866.207  788.29999            
22068.176  789.20001            
22270.088  787.59998            
22471.945  787.29999            
22673.745  789            
22875.489  787.70001            
23077.177  788.09998            
23278.809  787.40002            
23480.384  788.29999            
23681.904  788.5            
23883.368  788.09998            
24084.776  788.29999            
24286.128  788.40002            
24487.424  787.09998            
24688.664  788.70001            
24889.848  787.59998            
25090.977  787.79999            
25292.049  787.59998            
25493.066  787.59998            
25694.027  786.79999            
25894.932  787.5            
26095.781  787.5            
26296.575  786.09998            
26497.312  788.09998            
26697.994  787.79999            
26898.621  787.40002            
27099.192  787.5            
27299.707  787.90002            
27500.167  788.09998            
27700.571  787.29999            
27900.919  786.90002            
28101.212  789.09998            
28301.449  788.70001            
28501.631  788.79999            
28701.757  788.29999            
28901.828  788            
29101.844  787.79999            
29301.804  788.09998            
29501.708  788.5            
29701.557  790            
29901.351  789.29999            
30101.09  787.59998            
30300.773  788.5            
30500.401  788.40002            
30699.973  789.59998            
30899.491  787.29999            
31098.953  788.29999            
31298.36  789.29999            
31497.712  789            
31697.008  788.5            
31896.25  788.29999            
32095.436  788.79999            
32294.567  788.5            
32493.643  789.40002            
32692.664  791.20001            
32891.63  789.79999            
33090.541  788.5            
33289.397  790.29999            
33488.198  792.29999            
33686.944  790            
33885.635  790.29999            
34084.272  789            
34282.853  789.29999            
34481.379  789.40002            
34679.851  789.09998            
34878.267  789.5            
35076.629  790.09998            
35274.936  789.79999            
35473.189  789.90002            
35671.386  788.59998            
35869.529  788.40002            
36067.617  790.40002            
36265.651  789.5            
36463.629  789.59998            
36661.554  791.09998            
36859.423  791            
37057.238  790.29999            
37254.998  790.79999            
37452.704  790            
37650.355  790.79999            
37847.952  789.29999            
38045.494  790.29999            
38242.982  789.90002            
38440.415  790.09998            
38637.794  791.29999            
38835.118  788.79999            
39032.388  790.5            
39229.603  789.79999            
39426.765  790.70001            
39623.872  790.20001            
39820.924  789.59998            
40017.922  788.79999            
40214.866  791.40002            
40411.756  790.20001            
40608.592  790.20001            
40805.373  789.5            
41002.1  791.59998            
41198.773  788.79999            
41395.391  789.20001            
41591.956  790            
41788.467  790            
41984.923  789.79999            
42181.325  790.59998            
42377.674  790.59998            
42573.968  790            
42770.208  790.20001            
42966.394  789.09998            
43162.527  789.5            
43358.605  788.70001            
43554.629  789.90002            
43750.6  789.90002            
43946.516  788.90002            
44142.379  789.09998            
44338.188  790.59998            
44533.943  790.09998            
44729.644  790.09998            
