Single Spectrum_009_4             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6574.0134  778.20001            
6672.3794  778            
6770.7322  779.59998            
6869.0718  778.20001            
6967.3982  778            
7065.7114  778.40002            
7164.0114  778.40002            
7262.2982  778            
7360.5718  778.79999            
7458.8322  778.20001            
7557.0794  778.79999            
7655.3134  779            
7753.5342  777.20001            
7851.7418  778.40002            
7949.9362  778.20001            
8048.1175  778.59998            
8146.2855  778.20001            
8244.4404  778.59998            
8342.5821  778.79999            
8440.7105  778.20001            
8538.8259  778.79999            
8636.928  779            
8735.017  777            
8833.0927  778.20001            
8931.1553  778.59998            
9029.2048  777.20001            
9127.241  778.59998            
9225.2641  778.59998            
9323.2741  778.59998            
9421.2708  778.59998            
9519.2544  778.59998            
9617.2248  778.59998            
9715.1821  779.59998            
9813.1262  781            
9911.0571  780.40002            
10008.975  783.40002            
10106.88  786.79999            
10204.771  794.79999            
10302.649  810.79999            
10400.514  831.40002            
10498.367  846.20001            
10596.205  859.20001            
10694.031  857.40002            
10791.844  849.79999            
10889.643  840.59998            
10987.429  838            
11085.203  838            
11182.963  842.20001            
11280.709  845            
11378.443  845.59998            
11476.164  848.20001            
11573.871  857.20001            
11671.565  860.59998            
11769.247  869            
11866.915  869.59998            
11964.57  875.59998            
12062.211  881.40002            
12159.84  879.20001            
12257.456  875.79999            
12355.058  876.79999            
12452.647  878            
12550.224  873            
12647.787  872.59998            
12745.337  873.20001            
12842.874  875.20001            
12940.397  873            
13037.908  878            
13135.405  877.20001            
13232.89  873.40002            
13330.361  877            
13427.819  880.79999            
13525.265  879.40002            
13622.696  877.40002            
13720.115  877            
13817.521  882.40002            
13914.914  878            
14012.293  887.40002            
14109.66  884.59998            
14207.013  880.40002            
14304.354  879.79999            
14401.681  882            
14498.995  878.59998            
14596.296  877.59998            
14693.584  882            
14790.859  881.79999            
14888.121  872.20001            
14985.37  872            
15082.605  875.79999            
15179.828  879.40002            
15277.037  874            
15374.234  873.40002            
15471.417  878.40002            
15568.587  876.59998            
15665.744  875.79999            
15762.889  874            
15860.02  875.20001            
15957.138  876.79999            
16054.243  874.79999            
16151.334  876            
16248.413  877.20001            
16345.479  871.40002            
16442.532  872.79999            
16539.571  873.20001            
16636.598  875.40002            
16733.611  877.20001            
16830.612  871.59998            
16927.599  877.40002            
17024.574  876.20001            
17121.535  872.59998            
17218.483  874            
17315.418  875            
17412.341  870            
17509.25  869.20001            
17606.146  869.40002            
17703.029  867.40002            
17799.899  868            
17896.756  867.79999            
17993.6  871            
18090.431  870.20001            
18187.249  869            
18284.054  872            
18380.845  865.20001            
18477.624  867            
18574.39  864            
18671.143  862.59998            
18767.882  866            
18864.609  863.40002            
18961.323  865.59998            
19058.023  860            
19154.711  862.79999            
19251.386  866.20001            
19348.047  863.79999            
19444.696  868.20001            
19541.332  865            
19637.954  864            
19734.564  866.40002            
19831.16  866.20001            
19927.744  870.59998            
20024.315  875.59998            
20120.872  869            
20217.417  863.79999            
20313.948  861.40002            
20410.467  866.79999            
20506.972  871.59998            
20603.465  868.59998            
20699.945  863.20001            
20796.411  862.79999            
20892.865  866.40002            
20989.305  861.79999            
21085.733  859.59998            
21182.148  864.79999            
21278.549  862.20001            
21374.938  858.79999            
21471.314  854.40002            
21567.677  854.59998            
21664.026  857            
21760.363  855.79999            
21856.687  860.40002            
21952.998  863            
22049.296  857.79999            
22145.581  862.20001            
22241.852  855.40002            
22338.111  855.59998            
22434.357  854.79999            
22530.59  855.20001            
22626.81  853.20001            
22723.018  850.20001            
22819.212  854.40002            
22915.393  856.20001            
23011.561  856.20001            
23107.716  853.59998            
23203.859  856.40002            
23299.988  851.59998            
23396.105  852.59998            
23492.208  854.20001            
23588.299  855.40002            
23684.376  857.59998            
23780.441  859.59998            
23876.492  853.79999            
23972.531  853.20001            
24068.557  854.59998            
24164.57  853            
24260.57  853.79999            
24356.557  852            
24452.531  854            
24548.492  858            
24644.44  853.59998            
24740.375  855.59998            
24836.298  855.79999            
24932.207  859.59998            
25028.104  856.40002            
25123.987  857            
25219.858  855.20001            
25315.716  856.40002            
25411.56  856.59998            
25507.392  852.40002            
25603.211  855            
25699.017  854.40002            
25794.81  856.40002            
25890.591  855.20001            
25986.358  852.59998            
26082.112  853.40002            
26177.854  856.40002            
26273.582  860            
26369.298  855            
26465.001  851.59998            
26560.691  850.20001            
26656.368  849.59998            
26752.032  850            
26847.683  851.40002            
26943.321  856.79999            
27038.947  853.20001            
27134.559  857.40002            
27230.159  851            
27325.746  853.40002            
27421.319  855.79999            
27516.88  855.40002            
27612.428  853            
27707.964  855.20001            
27803.486  853.59998            
27898.995  853            
27994.492  851.59998            
28089.976  851.40002            
28185.446  851.59998            
28280.904  855.40002            
28376.349  852            
28471.781  853.79999            
28567.201  854.20001            
28662.607  855.40002            
28758.001  855.59998            
28853.381  853            
28948.749  848            
29044.104  853.79999            
29139.446  853.79999            
29234.776  854            
29330.092  854            
29425.396  848.79999            
29520.686  854.20001            
29615.964  855            
29711.229  856.40002            
29806.481  853.79999            
29901.72  849.79999            
29996.947  857.20001            
30092.16  851            
30187.361  857            
30282.549  853            
30377.724  854.59998            
30472.886  854.59998            
30568.036  858            
30663.172  857.59998            
30758.296  854            
30853.407  853.40002            
30948.505  852.59998            
31043.59  854.20001            
31138.662  853.79999            
31233.722  857.79999            
31328.769  855.59998            
31423.802  851.20001            
31518.823  854.20001            
31613.832  851.20001            
31708.827  857.20001            
31803.81  855.79999            
31898.779  853.79999            
31993.736  851.59998            
32088.681  854.20001            
32183.612  854.40002            
32278.53  855.40002            
32373.436  854.20001            
32468.329  847            
32563.209  852.40002            
32658.076  849.40002            
32752.931  852.20001            
32847.773  856.79999            
32942.601  853.40002            
33037.417  854            
33132.221  855.79999            
33227.011  855.20001            
33321.789  855.40002            
33416.554  852.79999            
33511.306  854.79999            
33606.045  851.20001            
33700.772  853.79999            
33795.485  848.79999            
33890.186  852            
33984.874  852.40002            
34079.55  853.40002            
34174.212  856.79999            
34268.862  851.79999            
34363.499  854.79999            
34458.123  851.79999            
34552.735  853.40002            
34647.334  850.20001            
34741.919  853.79999            
34836.493  849.79999            
34931.053  849.59998            
35025.601  853.40002            
35120.135  856.40002            
35214.657  858.79999            
35309.167  858.79999            
35403.663  853            
35498.147  853.40002            
35592.618  854            
35687.076  853.20001            
35781.522  854.20001            
35875.955  853.59998            
35970.375  858            
36064.782  853            
36159.176  859.40002            
36253.558  855.40002            
36347.927  855.59998            
36442.283  853.79999            
36536.627  851            
36630.957  853.79999            
36725.275  853.79999            
36819.581  851.59998            
36913.873  851.40002            
37008.153  854            
37102.42  852.79999            
37196.674  855.40002            
37290.916  856.59998            
37385.145  856.59998            
37479.361  851.79999            
37573.564  855.40002            
37667.755  851.59998            
37761.933  855.79999            
37856.098  854.59998            
37950.25  849.20001            
38044.39  853.40002            
38138.517  851.59998            
38232.631  847.20001            
38326.733  850.40002            
38420.822  855.79999            
38514.898  859.59998            
38608.961  861.40002            
38703.012  851.79999            
38797.05  854.59998            
38891.075  854            
38985.088  859.79999            
39079.088  853.40002            
39173.075  855.59998            
39267.05  849.40002            
39361.011  852.79999            
39454.96  855            
39548.897  852.40002            
39642.821  853            
39736.731  856            
39830.63  855            
39924.515  847.20001            
40018.388  848.59998            
40112.249  856.59998            
40206.096  858            
40299.931  854            
40393.753  854            
40487.562  850.79999            
40581.359  854.59998            
40675.143  851.79999            
40768.915  849.79999            
40862.674  854.79999            
40956.42  853.20001            
41050.153  852.40002            
41143.874  848.20001            
41237.582  851.79999            
41331.277  852.59998            
41424.96  849.40002            
41518.63  848.59998            
41612.287  852.40002            
41705.932  856.59998            
41799.564  851            
41893.183  853            
41986.79  851.79999            
42080.384  851.59998            
42173.966  857.59998            
42267.534  848.59998            
42361.09  847.59998            
42454.634  854.20001            
42548.165  856            
42641.683  854.20001            
42735.188  854.59998            
42828.681  855            
42922.161  851.20001            
43015.629  850.79999            
43109.084  854.20001            
43202.526  855.40002            
43295.955  856.20001            
43389.372  857.59998            
43482.777  854.59998            
43576.168  852            
43669.547  850.20001            
43762.914  856            
43856.268  856.40002            
43949.609  857.59998            
44042.937  855.40002            
44136.253  857            
44229.557  851.20001            
44322.847  857.59998            
44416.125  856.79999            
44509.391  857.40002            
44602.644  855.59998            
44695.884  851.40002            
44789.111  855            
44882.326  856            
44975.529  857.40002            
45068.718  856.59998            
45161.895  854.40002            
45255.06  857.20001            
