Single Spectrum_004_Spec.Data 1             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6667.1373  785.5            
6765.6872  785.20001            
6864.2238  785.59998            
6962.7473  784.90002            
7061.2577  785.40002            
7159.7549  785.70001            
7258.2389  785.79999            
7356.7098  786.09998            
7455.1675  785.59998            
7553.6121  785.90002            
7652.0435  785.40002            
7750.4618  785.20001            
7848.867  785.59998            
7947.259  785.5            
8045.6379  785.59998            
8144.0036  785.5            
8242.3562  785.40002            
8340.6957  785            
8439.022  784.90002            
8537.3352  785.5            
8635.6352  785.29999            
8733.9221  785.90002            
8832.1959  785.29999            
8930.4566  785.79999            
9028.7042  785.79999            
9126.9386  785.79999            
9225.1599  786            
9323.3681  786.59998            
9421.5631  787.79999            
9519.745  787.70001            
9617.9139  791.5            
9716.0696  791            
9814.2122  795.59998            
9912.3416  803.29999            
10010.458  816.59998            
10108.561  845.79999            
10206.651  892.59998            
10304.728  975.09998            
10402.792  1056.6            
10500.843  1129.3            
10598.881  1141.2            
10696.906  1124.3            
10794.917  1098.6            
10892.916  1077.5            
10990.901  1062.1            
11088.873  1053.3            
11186.832  1051.1            
11284.778  1062.5            
11382.711  1069.6            
11480.631  1078.2            
11578.538  1099.2            
11676.432  1117.9            
11774.312  1128.8            
11872.18  1141.3            
11970.034  1147.9            
12067.876  1142.5            
12165.704  1122.8            
12263.519  1124.7            
12361.322  1122.5            
12459.111  1103.9            
12556.887  1106            
12654.65  1116.1            
12752.399  1109.3            
12850.136  1098.4            
12947.86  1090.1            
13045.571  1091.4            
13143.268  1090.9            
13240.953  1085.6            
13338.624  1083.3            
13436.283  1080.1            
13533.928  1080            
13631.56  1081.4            
13729.18  1083.4            
13826.786  1091.4            
13924.379  1100.7            
14021.959  1124.8            
14119.526  1129            
14217.08  1125.2            
14314.621  1121.8            
14412.149  1114.7            
14509.664  1119.2            
14607.166  1126.7            
14704.655  1147.3            
14802.13  1158            
14899.593  1165.7            
14997.043  1180.3            
15094.479  1172.9            
15191.903  1179.7            
15289.314  1168.9            
15386.711  1151.8            
15484.096  1125.7            
15581.467  1109.5            
15678.826  1105.2            
15776.171  1095.5            
15873.504  1090.6            
15970.823  1078.9            
16068.13  1073.5            
16165.423  1077            
16262.703  1075.2            
16359.971  1071.2            
16457.225  1066.8            
16554.466  1071            
16651.695  1067.7            
16748.91  1061            
16846.112  1064.6            
16943.302  1053.8            
17040.478  1052.1            
17137.641  1054.8            
17234.792  1043.8            
17331.929  1037.3            
17429.053  1032.6            
17526.165  1041.4            
17623.263  1037.2            
17720.348  1033.8            
17817.42  1043.7            
17914.48  1045.9            
18011.526  1044.6            
18108.56  1041.2            
18205.58  1042.5            
18302.587  1036.8            
18399.582  1034.6            
18496.563  1036.7            
18593.532  1041.8            
18690.487  1046.4            
18787.43  1048.6            
18884.359  1048.1            
18981.276  1056.4            
19078.179  1054.1            
19175.07  1055.1            
19271.947  1066            
19368.812  1058.8            
19465.664  1058.9            
19562.503  1057.5            
19659.328  1060.6            
19756.141  1062.8            
19852.941  1064.9            
19949.728  1076            
20046.502  1076.7            
20143.263  1077.2            
20240.011  1073.7            
20336.746  1073.6            
20433.468  1067.4            
20530.177  1065.5            
20626.873  1079.5            
20723.557  1089.8            
20820.227  1082.3            
20916.884  1089.2            
21013.529  1088.8            
21110.16  1093.9            
21206.779  1097.2            
21303.384  1093.4            
21399.977  1099            
21496.557  1111.9            
21593.124  1115.3            
21689.677  1122            
21786.218  1121.1            
21882.746  1102.7            
21979.261  1104.4            
22075.764  1101.3            
22172.253  1095.3            
22268.729  1093            
22365.193  1071.3            
22461.643  1069.4            
22558.081  1059.8            
22654.505  1053.9            
22750.917  1058.2            
22847.316  1044.4            
22943.702  1041.8            
23040.075  1030.3            
23136.435  1023            
23232.782  1023.2            
23329.116  1033.1            
23425.437  1027            
23521.746  1010.3            
23618.041  1006            
23714.324  1011.3            
23810.594  999.40002            
23906.85  991.90002            
24003.094  992.90002            
24099.325  994            
24195.544  991.20001            
24291.749  989.79999            
24387.941  986.29999            
24484.121  984.20001            
24580.287  984.70001            
24676.441  977.70001            
24772.582  976.29999            
24868.71  974.5            
24964.825  982.59998            
25060.927  980.20001            
25157.016  973.90002            
25253.092  972            
25349.156  970.70001            
25445.207  969.5            
25541.244  974.40002            
25637.269  969.29999            
25733.281  971.29999            
25829.281  970.5            
25925.267  973            
26021.24  970.09998            
26117.201  966            
26213.148  959.79999            
26309.083  961.90002            
26405.005  965.59998            
