10.20             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
5483.5126  785.79999            
5582.2204  785.79999            
5680.9151  786.59998            
5779.5966  786.70001            
5878.2649  786            
5976.92  786.70001            
6075.562  786.40002            
6174.1908  786.40002            
6272.8065  787.20001            
6371.4089  786.40002            
6469.9982  786.59998            
6568.5744  786.09998            
6667.1373  786.5            
6765.6872  785.79999            
6864.2238  785.90002            
6962.7473  786.59998            
7061.2577  786.20001            
7159.7549  786.59998            
7258.2389  786.90002            
7356.7098  786.09998            
7455.1675  787            
7553.6121  786.59998            
7652.0435  785.90002            
7750.4618  786.79999            
7848.867  787.40002            
7947.259  785.90002            
8045.6379  786.90002            
8144.0036  786.5            
8242.3562  787.29999            
8340.6957  786.09998            
8439.022  785.79999            
8537.3352  786.90002            
8635.6352  786.5            
8733.9221  786.40002            
8832.1959  786.5            
8930.4566  786.40002            
9028.7042  787            
9126.9386  787.29999            
9225.1599  787.59998            
9323.3681  788            
9421.5631  787.90002            
9519.745  790.20001            
9617.9139  792.40002            
9716.0696  795.20001            
9814.2122  797            
9912.3416  806.5            
10010.458  825.70001            
10108.561  860.29999            
10206.651  928.20001            
10304.728  1053            
10402.792  1173.3            
10500.843  1257.9            
10598.881  1275.3            
10696.906  1254.6            
10794.917  1198.3            
10892.916  1151.6            
10990.901  1141.6            
11088.873  1139.8            
11186.832  1149.5            
11284.778  1149.2            
11382.711  1156.5            
11480.631  1178.9            
11578.538  1214.2            
11676.432  1236.7            
11774.312  1258            
11872.18  1286.8            
11970.034  1293.9            
12067.876  1295            
12165.704  1287.2            
12263.519  1271.4            
12361.322  1271            
12459.111  1254.2            
12556.887  1247            
12654.65  1243.1            
12752.399  1238.7            
12850.136  1228.2            
12947.86  1213.9            
13045.571  1208            
13143.268  1212.5            
13240.953  1215.4            
13338.624  1215.6            
13436.283  1201.3            
13533.928  1206.5            
13631.56  1217.8            
13729.18  1219            
13826.786  1219.2            
13924.379  1216.4            
14021.959  1223.5            
14119.526  1230.7            
14217.08  1242.2            
14314.621  1239.7            
14412.149  1229.3            
14509.664  1219.3            
14607.166  1230.3            
14704.655  1243.8            
14802.13  1248.5            
14899.593  1266.1            
14997.043  1278            
15094.479  1269.3            
15191.903  1262.9            
15289.314  1253.9            
15386.711  1238.9            
15484.096  1228.9            
15581.467  1221.4            
15678.826  1199.8            
15776.171  1184            
15873.504  1194.2            
15970.823  1200.7            
16068.13  1186            
16165.423  1170.5            
16262.703  1177.2            
16359.971  1169.8            
16457.225  1163.1            
16554.466  1158.3            
16651.695  1153.6            
16748.91  1154.2            
16846.112  1157.4            
16943.302  1167.9            
17040.478  1159.7            
17137.641  1162.8            
17234.792  1139.8            
17331.929  1138.5            
17429.053  1143.9            
17526.165  1152.5            
17623.263  1134.9            
17720.348  1128.9            
17817.42  1138.1            
17914.48  1139.4            
18011.526  1148            
18108.56  1141.4            
18205.58  1142.3            
18302.587  1124.2            
18399.582  1117.5            
18496.563  1133.2            
18593.532  1146.4            
18690.487  1138.6            
18787.43  1133.1            
18884.359  1133.7            
18981.276  1140.6            
19078.179  1143.7            
19175.07  1131.3            
19271.947  1136.1            
19368.812  1138            
19465.664  1145.4            
19562.503  1154.2            
19659.328  1155.8            
19756.141  1153.6            
19852.941  1145.5            
19949.728  1150.2            
20046.502  1156.2            
20143.263  1150            
20240.011  1151.7            
20336.746  1154.2            
20433.468  1155            
20530.177  1154.8            
20626.873  1163.6            
