15.20 re             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
4878.7689  785.79999            
4977.6524  787.29999            
5076.5227  786.70001            
5175.3799  787.40002            
5274.2239  786.90002            
5373.0548  786.20001            
5471.8725  787            
5570.6771  787.29999            
5669.4685  786.70001            
5768.2467  787.29999            
5867.0118  787.29999            
5965.7638  787            
6064.5026  787.40002            
6163.2283  787.29999            
6261.9408  787            
6360.6402  786.90002            
6459.3264  787.5            
6557.9996  786.59998            
6656.6595  787.20001            
6755.3064  786.59998            
6853.9401  786.79999            
6952.5606  786.70001            
7051.1681  786.70001            
7149.7624  787.29999            
7248.3436  786.90002            
7346.9116  786.79999            
7445.4666  787.20001            
7544.0084  786.79999            
7642.5371  787.5            
7741.0526  787.29999            
7839.5551  786.79999            
7938.0444  786.59998            
8036.5206  786.70001            
8134.9837  786.90002            
8233.4337  787.59998            
8331.8706  787.20001            
8430.2943  787.40002            
8528.705  787            
8627.1025  787            
8725.487  787.29999            
8823.8583  787.20001            
8922.2166  787.79999            
9020.5617  787.09998            
9118.8937  787            
9217.2127  787.90002            
9315.5185  787.59998            
9413.8113  787.79999            
9512.0909  788.09998            
9610.3575  788.70001            
9708.6109  790.09998            
9806.8513  791.79999            
9905.0786  795.79999            
10003.293  802.59998            
10101.494  816.40002            
10199.682  842.5            
10297.857  885.90002            
10396.019  934.09998            
10494.168  981.70001            
10592.303  1000.8            
10690.426  991.09998            
10788.536  970.79999            
10886.632  950.20001            
10984.715  940.40002            
11082.786  936.5            
11180.843  943.90002            
11278.887  939.29999            
11376.918  945.09998            
11474.937  955.79999            
11572.942  960.70001            
11670.934  971.09998            
11768.912  986.40002            
11866.878  993.5            
11964.831  991.59998            
12062.771  983.29999            
12160.698  982.09998            
12258.611  990.29999            
12356.512  983.90002            
12454.399  978.90002            
12552.274  970.70001            
12650.135  971.20001            
12747.984  953.59998            
12845.819  957.59998            
12943.641  961.40002            
13041.451  957.09998            
13139.247  951.5            
13237.03  956.59998            
13334.8  956            
13432.557  963.59998            
13530.301  959.90002            
13628.032  958.09998            
13725.75  959.5            
13823.455  963.09998            
13921.147  973.40002            
14018.826  970.09998            
14116.492  968            
14214.145  970.79999            
14311.785  973            
14409.412  980.70001            
14507.026  984.5            
14604.627  989.09998            
14702.214  1002.5            
14799.789  1003.4            
14897.351  1015.7            
14994.9  1025.1            
15092.435  1030.5            
15189.958  1021.4            
15287.468  1005.4            
15384.965  997.5            
15482.448  990.40002            
15579.919  980.40002            
15677.377  979.40002            
15774.822  966.79999            
15872.253  957.09998            
15969.672  950.59998            
16067.078  950.70001            
16164.471  949.09998            
16261.85  942.20001            
16359.217  943.29999            
16456.571  941.70001            
16553.912  933            
16651.24  930.5            
16748.554  933.79999            
16845.856  934.09998            
16943.145  931.90002            
17040.421  936.29999            
17137.684  934.70001            
17234.934  934.79999            
17332.171  935.90002            
17429.395  930.29999            
17526.606  924.29999            
17623.804  924.90002            
17720.989  924.70001            
17818.161  924.20001            
17915.32  922.70001            
18012.466  924.90002            
18109.6  926.59998            
18206.72  926            
18303.827  928.59998            
18400.921  928.70001            
18498.003  930.5            
18595.071  929.5            
18692.127  930.5            
18789.169  930.5            
18886.199  933            
18983.215  934.5            
19080.219  933.59998            
19177.21  929.79999            
19274.187  925.09998            
19371.152  931.90002            
19468.104  931            
19565.043  935.90002            
19661.969  942.29999            
19758.882  937.70001            
19855.782  939.70001            
19952.669  934.29999            
20049.544  936.5            
20146.405  934.79999            
20243.253  934            
20340.089  937.20001            
20436.911  937.70001            
20533.721  944.90002            
20630.517  941            
20727.301  945.09998            
20824.072  944.79999            
20920.83  939.70001            
21017.575  939.79999            
21114.307  939            
21211.026  944.90002            
21307.732  946.90002            
21404.426  952            
21501.106  952.90002            
21597.774  952.70001            
21694.428  950.90002            
21791.07  958.29999            
21887.699  953.59998            
21984.314  949.5            
22080.917  945.59998            
22177.507  938.20001            
22274.085  944            
22370.649  933.20001            
22467.2  929.70001            
22563.739  923.59998            
22660.264  923.20001            
22756.777  917.90002            
22853.277  917.20001            
22949.764  912.5            
23046.238  907.5            
23142.699  901.59998            
23239.147  902.59998            
23335.582  902.79999            
23432.005  896.70001            
23528.414  903.09998            
23624.811  904.59998            
23721.195  901            
23817.566  899.79999            
23913.924  896.70001            
24010.269  893.90002            
24106.601  893.90002            
24202.921  893.20001            
24299.227  897.59998            
24395.521  891.5            
24491.802  888.09998            
24588.07  896.70001            
24684.325  892.20001            
24780.567  890.79999            
24876.797  884.29999            
24973.013  888.90002            
25069.217  882.90002            
25165.408  883.90002            
25261.586  883.29999            
25357.751  882            
25453.903  882.40002            
25550.043  880.40002            
25646.169  884            
25742.283  883.40002            
25838.384  883.70001            
25934.472  880.20001            
26030.547  886.20001            
26126.609  882.90002            
26222.659  881            
26318.695  876.40002            
26414.719  878.90002            
26510.73  883.90002            
26606.728  880.29999            
26702.714  877.29999            
26798.686  877.29999            
26894.646  882.20001            
26990.592  879.29999            
27086.526  880.5            
27182.448  877.79999            
27278.356  876.29999            
27374.251  878.5            
27470.134  877.5            
27566.004  873.70001            
27661.861  875.70001            
27757.705  876.59998            
27853.537  879.90002            
27949.355  879.5            
28045.161  878.20001            
28140.954  877            
28236.734  877.90002            
28332.502  878.79999            
28428.256  877.90002            
28523.998  878.09998            
28619.727  880            
28715.443  878.70001            
28811.146  872.5            
28906.837  872.09998            
29002.515  871.70001            
29098.18  875.90002            
29193.832  877.20001            
29289.471  876.79999            
29385.098  879.59998            
29480.711  879.59998            
29576.312  878.79999            
29671.901  879.5            
29767.476  878.29999            
29863.039  883.70001            
29958.588  879.40002            
30054.126  879.70001            
30149.65  878.79999            
30245.161  876.79999            
30340.66  876            
30436.146  880.29999            
30531.619  878            
30627.079  879.79999            
30722.527  876.5            
30817.962  876            
30913.384  878.70001            
31008.793  879            
31104.19  879.29999            
31199.574  875.29999            
31294.945  877.20001            
31390.303  877.5            
31485.648  879.70001            
31580.981  878.40002            
31676.301  878            
31771.608  883.20001            
31866.903  881.09998            
31962.184  878.40002            
32057.453  879.29999            
32152.71  878.20001            
32247.953  878            
32343.184  878            
32438.402  877.59998            
32533.607  873.70001            
32628.799  876.59998            
32723.979  879.40002            
32819.146  880.40002            
32914.3  875.79999            
33009.442  878.70001            
33104.571  882.09998            
33199.687  883.5            
33294.79  879.20001            
33389.881  878.59998            
33484.958  876.5            
33580.024  875.90002            
33675.076  877.79999            
33770.116  875.70001            
33865.142  874.5            
33960.157  875.20001            
34055.158  872.90002            
34150.147  876.59998            
34245.123  876.20001            
34340.086  875.90002            
34435.037  876.79999            
34529.975  875.59998            
34624.9  870.90002            
34719.813  871.79999            
34814.712  872.79999            
34909.599  873.59998            
35004.474  876.59998            
35099.335  875.70001            
35194.184  872.70001            
35289.021  872            
35383.844  875.20001            
35478.655  878.29999            
35573.453  877            
35668.238  873.59998            
35763.011  873.40002            
35857.771  873            
35952.519  874.70001            
36047.253  874.70001            
36141.975  875            
36236.685  878.5            
36331.381  874.29999            
36426.065  872.09998            
36520.736  875.40002            
36615.395  878.40002            
36710.041  878.29999            
36804.674  874.90002            
36899.294  875            
36993.902  875            
37088.497  878.40002            
37183.08  873.90002            
37277.65  877.09998            
37372.207  874.09998            
37466.751  874.79999            
37561.283  876.09998            
37655.802  872.29999            
37750.309  875.5            
37844.802  872.59998            
37939.284  875.09998            
38033.752  878            
38128.208  880.09998            
38222.651  875.29999            
38317.081  873.20001            
38411.499  880.79999            
38505.904  881.5            
38600.297  879.20001            
38694.677  878.5            
38789.044  876.29999            
38883.399  878.40002            
38977.741  885.20001            
39072.07  880.20001            
39166.387  879.70001            
39260.691  878            
39354.982  879.09998            
39449.261  877.70001            
39543.527  877            
39637.78  882.90002            
39732.021  881.29999            
39826.249  879.59998            
39920.465  881            
40014.668  881            
40108.858  879.70001            
40203.036  883.79999            
40297.201  882.90002            
40391.353  886.70001            
40485.493  886.29999            
40579.62  883.40002            
40673.735  883.79999            
40767.836  888.5            
40861.926  890.20001            
40956.002  889.20001            
41050.066  888.5            
41144.118  890.5            
41238.157  887.20001            
41332.183  891.40002            
41426.197  892.29999            
41520.198  887.59998            
41614.186  886.40002            
41708.162  891.20001            
41802.125  893.59998            
41896.076  890.5            
41990.014  891.40002            
42083.939  890.79999            
42177.852  887.70001            
42271.752  886.40002            
42365.64  889            
42459.515  887.09998            
42553.377  890.29999            
42647.227  886.20001            
42741.064  888            
42834.889  890.40002            
42928.701  887.29999            
