21.20             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
4880.2607  786.79999            
4979.0489  786.40002            
5077.8239  787.09998            
5176.5857  787.5            
5275.3343  786.40002            
5374.0698  786.90002            
5472.792  786.59998            
5571.5011  786.70001            
5670.197  786.40002            
5768.8797  786.70001            
5867.5493  787.29999            
5966.2057  786.59998            
6064.8489  786.79999            
6163.4789  786.09998            
6262.0958  785.79999            
6360.6995  786.5            
6459.29  787.29999            
6557.8674  786.20001            
6656.4316  786.59998            
6754.9827  786.90002            
6853.5206  787.09998            
6952.0453  786.70001            
7050.5569  786.59998            
7149.0553  787.09998            
7247.5406  787.29999            
7346.0127  787.20001            
7444.4717  787.29999            
7542.9175  787.20001            
7641.3502  786.59998            
7739.7697  787.70001            
7838.1761  786.70001            
7936.5694  787.20001            
8034.9495  787.29999            
8133.3164  787.20001            
8231.6703  787            
8330.011  787.40002            
8428.3385  786.90002            
8526.6529  788.20001            
8624.9542  787.5            
8723.2424  787.59998            
8821.5174  787.90002            
8919.7793  787.79999            
9018.0281  788.79999            
9116.2637  788.79999            
9214.4863  790.20001            
9312.6957  790.20001            
9410.892  792.59998            
9509.0751  796.09998            
9607.2452  800.29999            
9705.4021  807.90002            
9803.546  818.40002            
9901.6767  841.40002            
9999.7943  898.5            
10097.899  998.90002            
10195.99  1181.6            
10294.068  1466.8            
10392.134  1721.7            
10490.186  1864.2            
10588.225  1833.1            
10686.25  1727.7            
10784.263  1645            
10882.263  1586.5            
10980.249  1554.8            
11078.223  1554.9            
11176.183  1575.3            
11274.131  1615.6            
11372.065  1664.4            
11469.986  1692.1            
11567.894  1730            
11665.789  1786.7            
11763.671  1849.3            
11861.54  1843.5            
11959.395  1772.5            
12057.238  1780.4            
12155.067  1809.6            
12252.884  1791.3            
12350.687  1771.1            
12448.478  1739.5            
12546.255  1734            
12644.019  1722.7            
12741.77  1752.9            
12839.508  1757.3            
12937.233  1730.6            
13034.945  1729.4            
13132.644  1768            
13230.33  1760.8            
13328.002  1767.5            
13425.662  1761.4            
13523.309  1754.8            
13620.942  1788.9            
13718.563  1791.9            
13816.17  1808.9            
13913.764  1842.7            
14011.346  1867.5            
14108.914  1871.7            
14206.469  1866.1            
14304.011  1925.3            
14401.541  1972.2            
14499.057  2009.1            
14596.56  2007.8            
14694.05  2061.6001            
14791.527  2128.8999            
14888.991  2198.3999            
14986.442  2208.5            
15083.879  2225.1001            
15181.304  2148.8            
15278.716  1980.9            
15376.115  1922.2            
15473.501  1850.1            
15570.873  1828            
15668.233  1799.2            
15765.58  1736.5            
15862.913  1698.5            
15960.234  1696.1            
16057.542  1689.5            
16154.836  1678.2            
16252.118  1656.1            
16349.387  1646.1            
16446.642  1670.9            
16543.885  1654.6            
16641.114  1612.8            
16738.331  1583.4            
16835.534  1578.8            
16932.725  1581.9            
17029.902  1588            
17127.067  1617.3            
17224.218  1601.4            
17321.357  1586.6            
17418.482  1576.4            
17515.595  1572.1            
17612.694  1570.6            
17709.781  1566.4            
17806.855  1558.2            
17903.915  1556.6            
18000.963  1534.8            
18097.997  1559.1            
18195.019  1594.8            
18292.027  1618.8            
18389.023  1623.8            
18486.006  1587.9            
18582.975  1610            
18679.932  1619            
18776.876  1655.3            
18873.806  1663.6            
18970.724  1665.4            
19067.629  1654.7            
19164.521  1638.9            
19261.4  1639.7            
19358.266  1664.6            
19455.118  1666.3            
19551.958  1641.1            
19648.785  1636.1            
19745.599  1672            
19842.4  1674.4            
19939.189  1681.1            
20035.964  1704.3            
20132.726  1702.8            
20229.475  1675.4            
20326.211  1692.9            
20422.935  1713.2            
20519.645  1753.7            
20616.342  1733.9            
20713.027  1745            
20809.698  1740.1            
20906.357  1758.3            
21003.003  1818            
21099.635  1807.2            
21196.255  1793.1            
21292.862  1816.6            
21389.456  1878.9            
21486.037  1900.8            
21582.605  1877.6            
21679.16  1873            
21775.702  1854.6            
21872.231  1824.7            
21968.748  1827.3            
22065.251  1798            
22161.741  1760.1            
22258.219  1741.1            
22354.683  1708.1            
22451.135  1654.2            
22547.574  1617.3            
22644  1615.5            
22740.413  1589.4            
22836.813  1535.1            
22933.2  1509.1            
23029.574  1525.8            
23125.935  1504.2            
23222.283  1498.2            
23318.619  1490.1            
23414.941  1467.9            
23511.251  1442.9            
23607.548  1450.8            
23703.832  1444.7            
23800.103  1417.4            
23896.361  1403.7            
23992.606  1395.9            
24088.838  1388.7            
24185.057  1359            
24281.264  1357.1            
24377.457  1355.2            
24473.638  1346.1            
24569.806  1327.5            
24665.961  1339.9            
24762.103  1353            
24858.232  1337            
24954.348  1331.9            
25050.451  1323.6            
25146.542  1308.7            
25242.619  1314.8            
25338.684  1313.8            
25434.736  1314.9            
25530.775  1302.8            
25626.801  1297.9            
25722.814  1292.2            
25818.815  1298.7            
25914.802  1283.4            
26010.777  1287.1            
26106.739  1277.4            
26202.687  1267.4            
26298.623  1282.8            
26394.547  1276.8            
26490.457  1265.4            
26586.354  1256.6            
26682.239  1251.1            
26778.111  1253.6            
26873.97  1259.6            
26969.816  1278            
27065.649  1275.5            
27161.469  1272.5            
27257.277  1257.5            
27353.071  1247.6            
27448.853  1256.7            
27544.622  1258.3            
27640.378  1253.9            
27736.121  1266.8            
27831.852  1253.8            
27927.569  1259.3            
28023.274  1262.8            
28118.966  1257.5            
28214.645  1270.4            
28310.311  1261.9            
28405.965  1257.1            
28501.606  1243.3            
28597.233  1262.6            
28692.848  1267.2            
28788.45  1259.2            
28884.04  1270.2            
28979.616  1274.1            
29075.18  1281.6            
29170.731  1281.5            
29266.269  1282.2            
29361.794  1284.4            
29457.306  1264.5            
29552.806  1251.6            
29648.293  1263.4            
29743.767  1281.1            
29839.228  1276.6            
29934.676  1270.6            
30030.112  1268.4            
30125.534  1284.5            
30220.944  1276.4            
30316.342  1281.5            
30411.726  1264.3            
30507.097  1254.3            
30602.456  1263.4            
30697.802  1257.5            
30793.135  1274.1            
30888.456  1275.5            
30983.763  1267.9            
31079.058  1261.5            
31174.34  1256.6            
31269.609  1259.5            
31364.866  1249.9            
31460.109  1244.5            
31555.34  1253            
31650.558  1250.6            
31745.763  1239.8            
31840.956  1239.7            
31936.136  1244.6            
32031.303  1251.5            
32126.457  1271.4            
32221.598  1265.5            
32316.727  1243.7            
32411.843  1237.5            
32506.946  1242.5            
32602.036  1238.2            
32697.114  1246.4            
32792.179  1250.3            
32887.231  1240.6            
32982.27  1238.2            
33077.297  1241.7            
33172.311  1248.7            
33267.312  1238.6            
33362.3  1245.7            
33457.275  1245            
33552.238  1245.7            
33647.188  1242.4            
33742.125  1244.1            
33837.05  1235.2            
33931.962  1233.2            
34026.861  1237.3            
34121.747  1233.1            
34216.621  1234.2            
34311.481  1224.7            
34406.33  1222.3            
34501.165  1227.2            
34595.988  1235.6            
34690.797  1238.1            
34785.595  1227.1            
34880.379  1216.6            
34975.151  1222.3            
35069.91  1234.2            
35164.656  1236.8            
35259.389  1243.1            
35354.11  1238.5            
35448.818  1241.7            
35543.514  1223.3            
35638.196  1219.9            
35732.866  1222.2            
35827.523  1232.1            
35922.168  1242.9            
36016.799  1246.5            
36111.418  1231.7            
36206.025  1235.8            
36300.618  1250.2            
36395.199  1237.2            
36489.768  1239.6            
36584.323  1248.7            
36678.866  1245.5            
36773.396  1244.8            
36867.913  1245.9            
36962.418  1242.9            
37056.91  1236            
37151.389  1228.9            
37245.856  1242            
37340.31  1253.7            
37434.751  1258.5            
37529.18  1252.4            
37623.596  1270.8            
37717.999  1264.4            
37812.389  1253.8            
37906.767  1256.4            
38001.132  1256.7            
38095.484  1250.5            
38189.824  1241.1            
38284.151  1256            
38378.466  1262.2            
38472.767  1234.4            
38567.056  1250.4            
38661.333  1252.1            
38755.596  1253.9            
38849.848  1254.4            
38944.086  1254.4            
39038.312  1263.8            
39132.525  1276.1            
39226.725  1277.6            
39320.913  1267.1            
39415.088  1271.4            
39509.25  1269.7            
39603.4  1292.7            
39697.537  1301.7            
39791.661  1286.3            
39885.773  1278            
39979.872  1308.2            
40073.959  1311.2            
40168.032  1297.3            
40262.093  1283            
40356.142  1296.7            
40450.178  1308.9            
40544.201  1301.4            
40638.212  1290.7            
40732.21  1299.8            
40826.195  1309.2            
40920.167  1309.9            
41014.127  1314            
41108.075  1340.7            
41202.01  1336.4            
41295.932  1335.7            
41389.841  1311.4            
41483.738  1300.5            
41577.622  1322.6            
41671.494  1329.2            
41765.353  1320            
41859.199  1320.7            
41953.033  1298.8            
42046.854  1313.1            
42140.662  1334.7            
42234.458  1324.5            
42328.242  1312.2            
42422.012  1315.8            
42515.77  1311            
42609.516  1311.8            
42703.248  1315.9            
42796.969  1306.6            
42890.676  1308.4            
42984.371  1321.7            
43078.054  1305.4            
43171.723  1324            
43265.38  1320.9            
43359.025  1315.6            
43452.657  1327.1            
43546.276  1326.7            
43639.883  1309.2            
43733.477  1318            
43827.059  1316.8            
43920.628  1287.1            
44014.184  1279            
44107.728  1278.5            
44201.259  1291.3            
44294.778  1286.2            
44388.284  1277.4            
44481.777  1258.8            
44575.258  1274.8            
44668.727  1270.7            
44762.182  1271.7            
44855.625  1285.1            
44949.056  1286.9            
45042.474  1279.7            
45135.879  1276.2            
45229.272  1286.8            
45322.652  1285.4            
45416.02  1268.2            
45509.375  1252.5            
45602.718  1258.2            
45696.048  1285.9            
45789.365  1288            
45882.67  1291.9            
45975.963  1294.5            
46069.242  1275.3            
46162.509  1287            
46255.764  1313.4            
46349.006  1319.4            
46442.236  1302.7            
46535.453  1288.6            
46628.657  1293.2            
46721.849  1315.5            
46815.028  1326.9            
46908.195  1317.8            
47001.349  1304.8            
47094.491  1293.5            
47187.62  1284.4            
47280.737  1288.6            
47373.841  1299            
47466.933  1310.4            
47560.012  1316.1            
47653.078  1320.9            
47746.132  1331.7            
47839.173  1338            
47932.202  1324.5            
48025.219  1325.4            
48118.222  1327.3            
48211.214  1351.1            
48304.192  1339.4            
48397.159  1327.3            
48490.112  1318.1            
48583.054  1326.1            
48675.982  1323.2            
48768.898  1327.4            
48861.802  1351.4            
48954.693  1365.8            
49047.572  1357.5            
49140.438  1344.7            
49233.292  1330.2            
49326.133  1353.9            
49418.961  1358.8            
49511.777  1373.6            
49604.581  1376.7            
49697.372  1364.6            
49790.15  1353.4            
49882.917  1347.7            
49975.67  1351.7            
50068.411  1357.5            
50161.14  1356.5            
50253.856  1379.3            
50346.559  1386.8            
50439.25  1380.3            
50531.929  1387.6            
50624.595  1385.6            
50717.249  1399.6            
50809.89  1377.8            
50902.519  1362.6            
50995.135  1378.5            
51087.738  1409.4            
51180.33  1410            
51272.908  1399.5            
51365.475  1387.3            
51458.028  1380.9            
51550.57  1379.3            
51643.099  1390.2            
51735.615  1383.8            
51828.119  1375.2            
51920.61  1376.4            
52013.089  1388.6            
52105.556  1402.4            
52198.01  1407.1            
52290.451  1392.9            
52382.88  1396.4            
52475.297  1392.5            
52567.701  1376.9            
52660.093  1406.6            
52752.472  1423.7            
52844.839  1414            
52937.193  1428.4            
53029.535  1414.2            
53121.864  1397.6            
53214.181  1385.4            
53306.486  1388.5            
53398.778  1398            
53491.058  1407.6            
53583.325  1423.7            
53675.58  1404.9            
53767.822  1372.2            
53860.052  1362.1            
53952.269  1366.5            
54044.474  1375.9            
54136.667  1363.2            
54228.847  1383.2            
54321.015  1385.2            
54413.17  1366.1            
54505.313  1354.4            
54597.443  1367            
54689.561  1373.3            
54781.667  1369            
54873.76  1365.4            
54965.841  1375.9            
55057.909  1343.5            
55149.965  1338.4            
55242.008  1357.3            
55334.039  1366.1            
55426.058  1376.5            
55518.064  1357.5            
55610.058  1350            
55702.039  1360.9            
55794.008  1354.1            
55885.965  1330.8            
55977.909  1333.4            
56069.841  1328.5            
56161.76  1343.9            
56253.667  1364.3            
56345.562  1349.8            
56437.444  1345.2            
56529.314  1354            
56621.171  1359.4            
56713.016  1366.8            
56804.849  1377.4            
56896.669  1371.6            
56988.477  1372.2            
57080.272  1372.5            
57172.055  1370.1            
57263.826  1376.7            
