burned 4.30             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
5483.5126  785.40002            
5582.2204  785.79999            
5680.9151  785.79999            
5779.5966  786.40002            
5878.2649  785.59998            
5976.92  785.40002            
6075.562  785.79999            
6174.1908  785.79999            
6272.8065  785.59998            
6371.4089  785.40002            
6469.9982  786.20001            
6568.5744  786.40002            
6667.1373  785.59998            
6765.6872  785.79999            
6864.2238  785.59998            
6962.7473  785.79999            
7061.2577  786.79999            
7159.7549  786.40002            
7258.2389  786.59998            
7356.7098  784.79999            
7455.1675  786.20001            
7553.6121  785.20001            
7652.0435  785.59998            
7750.4618  785.20001            
7848.867  786.40002            
7947.259  785.40002            
8045.6379  785.79999            
8144.0036  786            
8242.3562  785.79999            
8340.6957  785.59998            
8439.022  786.20001            
8537.3352  785.20001            
8635.6352  785.79999            
8733.9221  786.20001            
8832.1959  787            
8930.4566  786            
9028.7042  786            
9126.9386  785.79999            
9225.1599  786.40002            
9323.3681  786.40002            
9421.5631  787            
9519.745  788.59998            
9617.9139  790.20001            
9716.0696  789.59998            
9814.2122  793.79999            
9912.3416  800.20001            
10010.458  811.40002            
10108.561  832            
10206.651  873.20001            
10304.728  933.40002            
10402.792  1016            
10500.843  1089.8            
10598.881  1103.8            
10696.906  1086            
10794.917  1061.8            
10892.916  1033.8            
10990.901  1022.4            
11088.873  1006.8            
11186.832  1013.4            
11284.778  1028.6            
11382.711  1041.4            
11480.631  1048.8            
11578.538  1079.6            
11676.432  1083.4            
11774.312  1096.2            
11872.18  1107            
11970.034  1118.8            
12067.876  1113.6            
12165.704  1102.2            
12263.519  1105.2            
12361.322  1087.6            
12459.111  1081.8            
12556.887  1077.2            
12654.65  1076.8            
12752.399  1080            
12850.136  1070.6            
12947.86  1072.8            
13045.571  1069            
13143.268  1073.6            
13240.953  1068.2            
13338.624  1070            
13436.283  1081            
13533.928  1097.8            
13631.56  1088.6            
13729.18  1073.2            
13826.786  1089.2            
13924.379  1089.2            
14021.959  1079.4            
14119.526  1092            
14217.08  1096.6            
14314.621  1091.8            
14412.149  1090.4            
14509.664  1089.4            
14607.166  1098.6            
14704.655  1102.4            
14802.13  1122.4            
14899.593  1133.6            
14997.043  1171            
15094.479  1192.2            
15191.903  1183.6            
15289.314  1141.6            
15386.711  1122.2            
15484.096  1103.6            
15581.467  1082.4            
15678.826  1072.4            
15776.171  1088            
15873.504  1086.8            
15970.823  1077.8            
16068.13  1066.2            
16165.423  1068.6            
16262.703  1067.2            
16359.971  1073.4            
16457.225  1081            
16554.466  1073.2            
16651.695  1066.6            
16748.91  1051            
16846.112  1048.6            
16943.302  1059            
17040.478  1063            
17137.641  1062.6            
17234.792  1062            
17331.929  1053.6            
17429.053  1054            
17526.165  1045.2            
17623.263  1046            
17720.348  1049.6            
17817.42  1053.6            
17914.48  1054            
18011.526  1050.4            
18108.56  1058.6            
18205.58  1060.6            
18302.587  1055.8            
18399.582  1044.6            
18496.563  1047.8            
18593.532  1043.2            
18690.487  1048.2            
18787.43  1046.6            
18884.359  1041.4            
18981.276  1054.6            
19078.179  1052.2            
19175.07  1053.4            
19271.947  1056.2            
19368.812  1046            
19465.664  1050            
19562.503  1052            
19659.328  1060.8            
19756.141  1065.8            
19852.941  1061.6            
19949.728  1055.8            
20046.502  1065.8            
20143.263  1061            
20240.011  1054.4            
20336.746  1063.4            
20433.468  1069.2            
20530.177  1068.4            
20626.873  1073            
20723.557  1066            
20820.227  1067.8            
20916.884  1065.4            
21013.529  1060.4            
21110.16  1059            
21206.779  1059.2            
21303.384  1066.8            
21399.977  1075.4            
21496.557  1084.8            
21593.124  1074.6            
21689.677  1079            
21786.218  1076.8            
21882.746  1068.6            
21979.261  1060.4            
22075.764  1074            
22172.253  1055.8            
22268.729  1047.6            
22365.193  1054            
22461.643  1044.2            
22558.081  1048.6            
