9.20 clean             
x       y           
[m<sup>-1</sup>]     [CCD cts]         
6075.562  785.70001            
6174.1908  785.5            
6272.8065  785.40002            
6371.4089  785.29999            
6469.9982  785.70001            
6568.5744  785            
6667.1373  785.09998            
6765.6872  786            
6864.2238  785.29999            
6962.7473  785.90002            
7061.2577  785.40002            
7159.7549  785.59998            
7258.2389  785.59998            
7356.7098  785.20001            
7455.1675  786            
7553.6121  786.59998            
7652.0435  785.59998            
7750.4618  785.09998            
7848.867  785.79999            
7947.259  786.09998            
8045.6379  785.70001            
8144.0036  786.29999            
8242.3562  785.09998            
8340.6957  786.40002            
8439.022  786.29999            
8537.3352  786.40002            
8635.6352  785.59998            
8733.9221  786            
8832.1959  786.59998            
8930.4566  786.09998            
9028.7042  786.40002            
9126.9386  785.79999            
9225.1599  786.5            
9323.3681  786.5            
9421.5631  787.59998            
9519.745  788.09998            
9617.9139  790.70001            
9716.0696  789.79999            
9814.2122  793.20001            
9912.3416  798.59998            
10010.458  809            
10108.561  830.79999            
10206.651  869.29999            
10304.728  926.59998            
10402.792  996            
10500.843  1049.1            
10598.881  1069.2            
10696.906  1056            
10794.917  1037            
10892.916  1023.1            
10990.901  1013            
11088.873  1005            
11186.832  999.5            
11284.778  1014.4            
11382.711  1023.3            
11480.631  1047.8            
11578.538  1073.9            
11676.432  1092.8            
11774.312  1092.4            
11872.18  1092.7            
11970.034  1101            
12067.876  1105            
12165.704  1098.9            
12263.519  1083.5            
12361.322  1077.6            
12459.111  1076.6            
12556.887  1072.4            
12654.65  1077.5            
12752.399  1069.3            
12850.136  1074            
12947.86  1064.2            
13045.571  1060.2            
13143.268  1062            
13240.953  1053.5            
13338.624  1070.9            
13436.283  1076.6            
13533.928  1072.8            
13631.56  1070            
13729.18  1070.8            
13826.786  1078.8            
13924.379  1072.7            
14021.959  1061.8            
14119.526  1071.2            
14217.08  1077.4            
14314.621  1072.6            
14412.149  1078.7            
14509.664  1066.3            
14607.166  1068            
14704.655  1085.1            
14802.13  1084.3            
14899.593  1083.8            
14997.043  1089.6            
15094.479  1089.1            
15191.903  1094.1            
15289.314  1081.8            
15386.711  1089.6            
15484.096  1080.5            
15581.467  1070.9            
15678.826  1062            
15776.171  1065.1            
15873.504  1057.6            
15970.823  1053.5            
16068.13  1039.7            
16165.423  1038.3            
16262.703  1036.9            
16359.971  1050.7            
16457.225  1059.2            
16554.466  1053.7            
16651.695  1042.5            
16748.91  1038.2            
16846.112  1041.3            
16943.302  1043.4            
17040.478  1041.5            
17137.641  1045.5            
17234.792  1042.1            
17331.929  1036.3            
17429.053  1028.4            
17526.165  1029.9            
17623.263  1036.3            
17720.348  1031.7            
17817.42  1030.3            
17914.48  1024.6            
18011.526  1031.4            
18108.56  1035.6            
18205.58  1033.9            
18302.587  1022            
18399.582  1013.7            
18496.563  1018.8            
18593.532  1020.3            
18690.487  1026.2            
18787.43  1017.8            
18884.359  1020.8            
18981.276  1020.5            
19078.179  1032.8            
19175.07  1034.9            
19271.947  1034.9            
19368.812  1026.5            
19465.664  1021.5            
19562.503  1032.3            
19659.328  1033.3            
19756.141  1038.6            
19852.941  1039.8            
19949.728  1036.9            
20046.502  1041            
20143.263  1034.9            
20240.011  1027.8            
20336.746  1033.6            
20433.468  1036.4            
20530.177  1039.4            
20626.873  1039.4            
20723.557  1037.6            
20820.227  1039.3            
20916.884  1044.2            
21013.529  1035.3            
21110.16  1025.6            
21206.779  1032.9            
21303.384  1043            
21399.977  1040.2            
21496.557  1041.8            
21593.124  1051.1            
21689.677  1047.7            
21786.218  1044.1            
21882.746  1034.4            
21979.261  1029.2            
22075.764  1033.2            
22172.253  1026.5            
22268.729  1017.3            
22365.193  1021.7            
22461.643  1020.2            
22558.081  1019.3            
22654.505  1015.3            
22750.917  1023.8            
22847.316  1024.2            
22943.702  1008.5            
23040.075  1006.5            
23136.435  1006.7            
23232.782  1007.9            
23329.116  1009.7            
23425.437  1013.9            
